mtype,tokens,label
SET,"['\\{', 'a', '\\}']",1
SCAL,"['3', 'r']",1
FUNC,"['f']",1
SCAL,"['\\binom', '{', '4', '}', '{', '4', '}']",1
SCAL,"['1']",1
FUNC,"['P']",1
SCAL,"['f', '(', 'x', ')']",1
FUNC,"['f', '(', 'x', ')', '=', 'p', '(', 'x', ')']",1
SCAL,"['\\frac', '{', '0', '}', '{', '0', '}']",1
FUNC,"['h']",1
SCAL,"['0']",1
SCAL,"['3']",1
FUNC,"['f', '(', 'x', ')', '=', '3', '^', 'x']",1
FUNC,"['F']",1
SCAL,"['a', 'c']",1
FUNC,"['\arctan']",1
FUNC,"['G']",1
SCAL,"['0']",1
FUNC,"['f']",1
SCAL,"['b', '^', '2', '-', '4', 'a', 'c']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'n', ')', '=', 'n', '^', '2']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['f']",1
SCAL,"['3', '^', '2']",1
SCAL,"['g', '(', 'k', '+', 'n', ')']",1
SCAL,"['3']",1
SCAL,"['3']",1
FUNC,"['F']",1
FUNC,"['f']",1
SCAL,"['8']",1
SCAL,"['-', '3', '\\cdot', '2', '^', '2']",1
SCAL,"['1']",1
SCAL,"['-', '1']",1
SCAL,"['f', '(', 'n', ')']",1
FUNC,"['g', '(', 'x', ')', '=', '\\{', 'x', '\\}']",1
FUNC,"['f']",1
SCAL,"['k', '^', '2', '-', '2', 'k']",1
SCAL,"['2', '^', '{', '1', '/', '2', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '2', '^', '{', 'x', '-', '1', '}', '-', 'x']",1
FUNC,"['f', '(', 'x', ')', '=', '3', '^', '{', '-', 'x', '}']",1
FUNC,"['g', '\\colon', 'Y', '\\to', 'X']",1
SCAL,"['2']",1
FUNC,"['f', '(', 'x', ')', '=', 'a']",1
SCAL,"['\\dfrac', '{', 'a', '}', '{', '(', 'x', '+', 'b', ')', '^', '2', '}']",1
SCAL,"['f', '(', '1', ')']",1
FUNC,"['g']",1
FUNC,"['g', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']",1
SCAL,"['2']",1
SCAL,"['6']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '-', '2', 'x', '}', '{', '2', 'x', '^', '2', '-', '3', 'x', '-', '2', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2']",1
FUNC,"['p']",1
SCAL,"['x', '+', '\\frac', '{', '1', '}', '{', 'x', '}']",1
SCAL,"['f', '(', 'a', ')']",1
FUNC,"['f', ':', '\\mathbb{C}', '\\to', '\\mathbb{C}']",1
SCAL,"['(', '7', '+', '5', '^', '{', '1', '/', '2', '}', ')', '^', '{', '1', '/', '3', '}', '+', '(', '7', '-', '5', '^', '{', '1', '/', '2', '}', ')', '^', '{', '1', '/', '3', '}']",1
FUNC,"['G']",1
SCAL,"['2']",1
SCAL,"['\\frac', '{', '1', '}', '{', '3', '}']",1
SCAL,"['3']",1
SCAL,"['b', '^', '2']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b', 'x', '+', 'c']",1
SCAL,"['k', '^', '2']",1
FUNC,"['g']",1
FUNC,"['\\tanh', '(', 'x', ')', '=', '2', 's', '(', '2', 'x', ')', '-', '1']",1
FUNC,"['f', '(', 'x', ')', '=', '3', '^', 'x']",1
SCAL,"['3']",1
SCAL,"['x', '/', '(', '2', '-', 'x', ')']",1
SCAL,"['5']",1
SCAL,"['\\frac', '{', '1', '}', '{', '1', '}']",1
FUNC,"['f']",1
SCAL,"['\\frac', '{', 'x', '^', '2', '+', 'a', 'x', '+', 'b', '}', '{', 'x', '^', '2', '-', '2', 'x', '+', '1', '}']",1
SCAL,"['d', '+', '1']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x', '-', 'x', '-', '5']",1
SCAL,"['x', '^', '{', '1', '}']",1
SCAL,"['\\frac', '{', 'a', '}', '{', 'b', '}']",1
SCAL,"['\\frac', '{', '1', '}', '{', 'a', '^', '{', '-', 'e', '}', '}']",1
SCAL,"['0']",1
FUNC,"['f', '(', 't', ')', '=', '-', 't', '^', '2', '+', '2', 't', '+', '3']",1
SCAL,"['0', '3']",1
FUNC,"['g']",1
SCAL,"['f', '(', 'x', ')']",1
