mtype,tokens,type_tokens,label
FUNC,"['f', ':', 'G', '\\rightarrow', 'H']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\cup', 'B', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,['T'],"['func_name', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb{N}', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",1
SCAL,['2'],"['expr_atom', '__ANON_3']",1
FUNC,['k'],"['func_name', '__ANON_1']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,"['h', ':', '\\mathbb{N}', '\\to', 'A', '\\times', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']",1
FUNC,"['f', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb{Z}', '\\to', '\\mathbb{Z}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,['g'],"['func_name', '__ANON_1']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,['A'],"['func_name', '__ANON_0']",1
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']",1
SCAL,['0'],"['expr_atom', '__ANON_3']",1
SET,\varnothing,set_constant,1
FUNC,"['F', ':', '\\mathbb{N}', '\\to', 'X']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,"['g', ':', 'C', '\\to', 'D']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['p', '+', 'q']","['additive', '__ANON_1', 'ADD', '__ANON_1']",1
FUNC,['D'],"['func_name', '__ANON_0']",1
FUNC,"['g', ':', '(', '0', ',', '1', ')', '\\rightarrow', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_PAREN', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_PAREN', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', '\\mathbb', 'N', '\\rightarrow', '\\mathbb', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['h', ':', 'Z', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,['F'],"['func_name', '__ANON_0']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,"['f', ':', 'A', '\\times', 'A', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\rightarrow', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",1
SCAL,"['m', '/', 'n']","['mp', '__ANON_1', 'DIV', '__ANON_1']",1
SET,"['A', '^', 'B']","['set_expr', '__ANON_0', 'CARET', '__ANON_0']",1
SCAL,['1'],"['expr_atom', '__ANON_3']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,"['g', ':', 'B', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",1
FUNC,['g'],"['func_name', '__ANON_1']",1
FUNC,"['f', '(', 'a', ')', '=', 'b']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']",1
FUNC,['g'],"['func_name', '__ANON_1']",1
SET,\mathbb{Q},"['set_constant', 'SET_BASIC']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
SET,"['\\{', '2', ',', '3', ',', '5', ',', '6', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",1
FUNC,['h'],"['func_name', '__ANON_1']",1
FUNC,['S'],"['func_name', '__ANON_0']",1
SCAL,['0'],"['expr_atom', '__ANON_3']",1
SET,"['\\{', 'a', ',', 'a', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', '1', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', 'expr_atom', 'integer', '__ANON_3', '__ANON_3']",1
SCAL,"['n', '-', '1']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']",1
FUNC,"['f', '\\colon', 'A', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']",1
FUNC,"['f', ':', 'S', '\\rightarrow', 'T']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['g', ':', '\\mathbb{N}', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,['f'],"['func_name', '__ANON_1']",1
FUNC,['E'],"['func_name', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
