mtype,tokens,type_tokens,labels,labels_str
FUNC,"['j', ':', '\\mathbb{N}', '\\rightarrow', '[', '0', ',', '1', ']']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']",[0],['elementary-set-theory']
SET,\mathbb{Q},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', '1', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', 'expr_atom', 'integer', '__ANON_3', '__ANON_3']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', '(', 'x', ')', '=', '9', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'expr_atom', '__ANON_3', '__ANON_1']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'S', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['g', ':', 'S', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', '(', 'x', ')', '=', '2', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'expr_atom', '__ANON_3', '__ANON_1']",[0],['elementary-set-theory']
FUNC,"['N', '(', 'q', ')', '=', '1', '+', 'q']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1']",[0],['elementary-set-theory']
SCAL,"['1', '/', '2']","['mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3']",[0],['elementary-set-theory']
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['(', '-', '1', '/', 'n', ',', '1', '/', 'n', ')']","['interval', 'L_PAREN', 'expr_atom', 'unary', 'SUB', 'expr_atom', '__ANON_3', 'DIV', '__ANON_1', 'COMMA', 'expr_atom', 'expr_atom', '__ANON_3', 'DIV', '__ANON_1', 'R_PAREN']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[0, 11]","['elementary-set-theory', 'induction']"
FUNC,"['f', '(', 'n', ')', '=', 'n']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']",[0],['elementary-set-theory']
SET,"['\\{', '0', ',', '1', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[15, 0]","['notation', 'elementary-set-theory']"
FUNC,"['f', '\\colon', 'A', '\\to', '\\{', '0', ',', '1', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[15, 0]","['notation', 'elementary-set-theory']"
FUNC,"['f', ':', 'M', '\\rightarrow', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 16]","['elementary-set-theory', 'relations']"
FUNC,"['g', '\\circ', 'f']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']","[5, 0]","['functions', 'elementary-set-theory']"
SCAL,"['2', '^', 'a', '(', '2', '(', '2', '^', 'b', '(', '2', 'c', '+', '1', ')', '-', '1', ')', '+', '1', ')', '-', '1']","['additive', 'unary', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'group', 'L_PAREN', 'additive', 'unary', 'expr_atom', '__ANON_3', 'group', 'L_PAREN', 'additive', 'unary', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'group', 'L_PAREN', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'SUB', 'expr_atom', '__ANON_3']","[20, 0]","['logic', 'elementary-set-theory']"
SET,\mathbb{R},"['set_constant', 'SET_BASIC']","[0, 21]","['elementary-set-theory', 'cardinals']"
