fid,mtype,exprstr,mention,tokens,tags
632f8a08837ac920af67925b_f_2_1_0,FUNC,f(x)=x,", and the identity function   f_2_1_0","['f', '(', 'x', ')', '=', 'x']","['calculus', 'derivatives', 'elementary-functions']"
632f9077837ac920af67d788_f_0_1_0,FUNC,f: \mathbb R \to \mathbb R,the function   f_0_1_0,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['maxima-minima', 'elementary-functions']"
632f907a837ac920af67f118_f_0_1_0,FUNC,f: \mathbb{N} \rightarrow \mathbb{N},function,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\mathbb{N}']","['elementary-set-theory', 'elementary-functions']"
632f907a837ac920af67f15b_f_1_0_0,FUNC,f,the function,['f'],"['elementary-set-theory', 'elementary-functions']"
632f907a837ac920af67f15b_f_2_0_0,FUNC,f:X\to Y,a function,"['f', ':', 'X', '\\to', 'Y']","['elementary-set-theory', 'elementary-functions']"
632f971d837ac920af6867a9_f_2_0_0,FUNC,E,elementary functions,['E'],"['soft-question', 'intuition', 'definition', 'elementary-functions']"
6327306c06a69a3f488f0030_f_0_0_0,FUNC,"f(x,y) = \frac{(x+y-1)(x+y-2)}{2} + y ",The function,"['f', '(', 'x', ',', 'y', ')', '=', '\\frac', '{', '(', 'x', '+', 'y', '-', '1', ')', '(', 'x', '+', 'y', '-', '2', ')', '}', '{', '2', '}', '+', 'y']","['inverse', 'elementary-functions']"
6327306c06a69a3f488f0030_f_0_1_0,FUNC,g,the functions   f_0_1_0,['g'],"['inverse', 'elementary-functions']"
632f9d9b837ac920af691136_f_0_0_0,SET,\mathbb{Z},the set,\mathbb{Z},"['abstract-algebra', 'functions', 'integers', 'elementary-functions']"
632fcd1a837ac920af6dcf3c_f_0_0_0,FUNC,"f(x,y) = (x-y)^2",the function,"['f', '(', 'x', ',', 'y', ')', '=', '(', 'x', '-', 'y', ')', '^', '2']","['calculus', 'derivatives', 'elementary-functions']"
632fcd1b837ac920af6dd1c2_f_1_6_0,FUNC,p,functions,['p'],['elementary-functions']
632fcd22837ac920af6e001d_f_0_0_0,FUNC,f(x) = 3x^2 + 2,The function,"['f', '(', 'x', ')', '=', '3', 'x', '^', '2', '+', '2']","['general-topology', 'elementary-functions']"
633004ca837ac920af736bc8_f_0_14_0,FUNC,S,direct bijection,['S'],"['elementary-number-theory', 'elementary-set-theory', 'natural-numbers', 'elementary-functions', 'first-countable']"
632fcd24837ac920af6e0db2_f_1_0_0,FUNC,z,whereas the map,['z'],"['algebra-precalculus', 'complex-numbers', 'elementary-functions']"
632f9d9e837ac920af69242b_f_0_7_0,FUNC,f,this function,['f'],"['functions', 'elementary-functions']"
633004ce837ac920af73884b_f_1_9_0,FUNC,S,a bijection   f_1_9_0,['S'],"['real-analysis', 'calculus', 'inverse', 'elementary-functions']"
632fd3c2837ac920af6e3630_f_0_1_0,FUNC,f(x) = 2^x,the function   f_0_1_0,"['f', '(', 'x', ')', '=', '2', '^', 'x']","['real-analysis', 'limits-without-lhopital', 'elementary-functions']"
632f9d9f837ac920af6929f2_f_2_4_0,SCAL,1,a minimal value,1,"['algebra-precalculus', 'inequality', 'fractions', 'a.m.-g.m.-inequality', 'elementary-functions']"
633004cf837ac920af738b8e_f_0_4_0,FUNC,F,functions,['F'],"['integration', 'functions', 'elementary-functions']"
633004d0837ac920af73931d_f_1_8_0,FUNC,f \circ g,the composite function,"['f', '\\circ', 'g']","['functions', 'elementary-functions']"
633004d0837ac920af7393ed_f_0_14_0,FUNC,g(a)=x,this function,"['g', '(', 'a', ')', '=', 'x']","['elementary-set-theory', 'elementary-functions']"
632fd3c9837ac920af6e619c_f_1_15_0,FUNC,E,an elementary function,['E'],"['abstract-algebra', 'solution-verification', 'closed-form', 'elementary-functions', 'transcendental-functions']"
633004d0837ac920af73941b_f_0_5_0,FUNC,i:A\to A,the identity function,"['i', ':', 'A', '\\to', 'A']","['elementary-set-theory', 'elementary-functions']"
633004d0837ac920af739635_f_1_3_0,FUNC,A,an algebraic function,['A'],"['algebra-precalculus', 'closed-form', 'inverse-function', 'lambert-w', 'elementary-functions']"
633004d0837ac920af739635_f_1_6_0,FUNC,f,function,['f'],"['algebra-precalculus', 'closed-form', 'inverse-function', 'lambert-w', 'elementary-functions']"
633004d0837ac920af739635_f_1_12_0,FUNC,F,the function,['F'],"['algebra-precalculus', 'closed-form', 'inverse-function', 'lambert-w', 'elementary-functions']"
633004d0837ac920af739635_f_1_18_0,FUNC,f,Your function,['f'],"['algebra-precalculus', 'closed-form', 'inverse-function', 'lambert-w', 'elementary-functions']"
632fd3d3837ac920af6ea13c_f_0_0_0,FUNC,y,this function,['y'],"['algebra-precalculus', 'proof-explanation', 'exponentiation', 'closed-form', 'elementary-functions']"
633004d1837ac920af739af4_f_1_6_0,FUNC,f(z) = iz^3,the desired function,"['f', '(', 'z', ')', '=', 'i', 'z', '^', '3']","['complex-analysis', 'elementary-functions']"
632fd3d3837ac920af6ea13c_f_1_23_0,FUNC,f,functions,['f'],"['algebra-precalculus', 'proof-explanation', 'exponentiation', 'closed-form', 'elementary-functions']"
63300bb5837ac920af73d15d_f_0_1_0,FUNC,f,A function   f_0_1_0,['f'],"['proof-writing', 'solution-verification', 'closed-form', 'elementary-functions']"
632f5f4c837ac920af63b369_f_0_0_0,FUNC,f(x) = \frac{x^2}{(1+10^{-3})^x},a function,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '^', '2', '}', '{', '(', '1', '+', '1', '^', '{', '-', '3', '}', ')', '^', 'x', '}']","['calculus', 'algebra-precalculus', 'elementary-number-theory', 'elementary-functions']"
632fa432837ac920af69b084_f_1_17_0,FUNC,\sin(z)=\dfrac{e^{iz}-e^{-iz}}{2},an elementary function,"['\\sin', '(', 'z', ')', '=', '\\dfrac', '{', 'e', '^', '{', 'i', 'z', '}', '-', 'e', '^', '{', '-', 'i', 'z', '}', '}', '{', '2', '}']","['trigonometry', 'elementary-functions']"
632fa432837ac920af69b350_f_0_6_0,FUNC,h(x)=s(x)f(x) + (1-s(x))g(x),the function   f_0_6_0,"['h', '(', 'x', ')', '=', 's', '(', 'x', ')', 'f', '(', 'x', ')', '+', '(', '1', '-', 's', '(', 'x', ')', ')', 'g', '(', 'x', ')']","['functions', 'exponential-function', 'elementary-functions']"
63300bb5837ac920af73d15d_f_0_39_0,FUNC,f,the function,['f'],"['proof-writing', 'solution-verification', 'closed-form', 'elementary-functions']"
632f65fa837ac920af63f5d7_f_0_9_0,FUNC,f,an elementary function,['f'],"['sequences-and-series', 'number-theory', 'quadratic-residues', 'elementary-functions']"
632fa436837ac920af69cfbb_f_1_1_0,SCAL,1,the value   f_1_1_0,1,"['calculus', 'elementary-functions']"
632fd3dc837ac920af6edb32_f_6_9_0,SCAL,\frac{11}{25},whose   f_6_8_0 -value,"['\\frac', '{', '1', '}', '{', '2', '}']","['real-analysis', 'calculus', 'polynomials', 'elementary-functions']"
632fd3dd837ac920af6edd29_f_0_6_0,FUNC,f,the function   f_0_6_0,['f'],"['real-analysis', 'calculus', 'elementary-functions']"
632fa436837ac920af69cff3_f_1_6_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory', 'products', 'elementary-functions']"
63300bb5837ac920af73d15d_f_1_7_0,FUNC,g,a function,['g'],"['proof-writing', 'solution-verification', 'closed-form', 'elementary-functions']"
632fa436837ac920af69cff3_f_1_19_0,FUNC,f,the empty function,['f'],"['functions', 'elementary-set-theory', 'products', 'elementary-functions']"
63300bba837ac920af73f0f1_f_1_2_0,FUNC,f\circ\sec,your function,"['f', '\\circ', '\\sec']","['functions', 'elementary-functions', 'even-and-odd-functions']"
632fa439837ac920af69e028_f_0_4_0,FUNC,F,the functions,['F'],"['functions', 'elementary-functions']"
632fdaf6837ac920af6f38ac_f_0_0_0,FUNC,f:X \rightarrow Y,a function,"['f', ':', 'X', '\\rightarrow', 'Y']","['elementary-set-theory', 'elementary-functions']"
632fdaf6837ac920af6f38ac_f_1_0_0,FUNC,f : X \to Y,a function,"['f', ':', 'X', '\\to', 'Y']","['elementary-set-theory', 'elementary-functions']"
63300bbd837ac920af7403e0_f_1_4_0,SCAL,-1,the value   f_1_4_0,"['-', '1']","['algebra-precalculus', 'inequality', 'elementary-functions']"
632fdaf7837ac920af6f3d36_f_1_0_0,FUNC,f,a function,['f'],"['integration', 'algorithms', 'indefinite-integrals', 'elementary-functions']"
63300bc3837ac920af741c8f_f_3_0_0,FUNC,y,a variable,['y'],"['functions', 'closed-form', 'inverse-function', 'elementary-functions']"
63300bc3837ac920af741c8f_f_3_22_0,FUNC,A,an algebraic function,['A'],"['functions', 'closed-form', 'inverse-function', 'elementary-functions']"
63300bc3837ac920af741c8f_f_3_35_0,FUNC,f,the function,['f'],"['functions', 'closed-form', 'inverse-function', 'elementary-functions']"
632fdafb837ac920af6f5c46_f_0_0_0,FUNC,f,a differentiable function,['f'],"['real-analysis', 'derivatives', 'proof-explanation', 'solution-verification', 'elementary-functions']"
632f6601837ac920af641eaf_f_1_8_0,SCAL,-43295.7,a value,"['-', '4', '7']","['summation', 'recreational-mathematics', 'elementary-functions']"
632fdafe837ac920af6f6fef_f_0_0_0,FUNC,f(x)= h(i(j(x))),function,"['f', '(', 'x', ')', '=', 'h', '(', 'i', '(', 'j', '(', 'x', ')', ')', ')']","['algebra-precalculus', 'elementary-set-theory', 'inverse-function', 'elementary-functions']"
63300bce837ac920af745df6_f_0_0_0,FUNC,f: A \rightarrow B,a function,"['f', ':', 'A', '\\rightarrow', 'B']","['abstract-algebra', 'functions', 'relations', 'elementary-functions']"
632fdafe837ac920af6f6fef_f_0_6_0,FUNC,f,function   f_0_6_0,['f'],"['algebra-precalculus', 'elementary-set-theory', 'inverse-function', 'elementary-functions']"
632fdafe837ac920af6f6fef_f_0_7_0,FUNC,f,a rational function,['f'],"['algebra-precalculus', 'elementary-set-theory', 'inverse-function', 'elementary-functions']"
632f6604837ac920af643242_f_0_0_0,FUNC,f(x)=e^{-x^2},the function,"['f', '(', 'x', ')', '=', 'e', '^', '{', '-', 'x', '^', '2', '}']","['calculus', 'real-analysis', 'sequences-and-series', 'power-series', 'elementary-functions']"
632fa43f837ac920af6a09c0_f_1_0_0,FUNC,f \colon \mathbb{R} \to \mathbb{R},function,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['elementary-set-theory', 'elementary-functions']"
