fid,mtype,exprstr,mention,tokens,tags
6327106106a69a3f488d6e3e_f_8_2_0,FUNC,f,any function,['f'],"['elementary-set-theory', 'intuition', 'infinity', 'faq']"
6327106106a69a3f488d6e96_f_3_22_0,FUNC,"j: \mathbb{N} \rightarrow [0, 1]",any injection   f_3_22_0,"['j', ':', '\\mathbb{N}', '\\rightarrow', '[', '0', ',', '1', ']']",['elementary-set-theory']
6327106106a69a3f488d6e96_f_3_38_0,FUNC,b,together the identity map,['b'],['elementary-set-theory']
6327106106a69a3f488d6ef4_f_0_0_0,SET,\mathbb{Q},the set   f_0_0_0,\mathbb{Q},"['elementary-set-theory', 'irrational-numbers']"
6327106106a69a3f488d6f48_f_0_0_0,FUNC,f,a given function,['f'],"['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f48_f_0_3_0,FUNC,f(x) = x+10,the function   f_0_3_0,"['f', '(', 'x', ')', '=', 'x', '+', '1']","['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f48_f_0_5_0,FUNC,f(x) = 9x,the function   f_0_5_0,"['f', '(', 'x', ')', '=', '9', 'x']","['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f48_f_0_7_0,FUNC,f(x) = x^2 + 1,the function,"['f', '(', 'x', ')', '=', 'x', '^', '2', '+', '1']","['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f48_f_0_8_0,FUNC,f: \mathbb R \to \mathbb R,functions,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f48_f_1_0_0,FUNC,f,a bijection,['f'],"['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f48_f_1_10_0,FUNC,f : S \to S,A bijection,"['f', ':', 'S', '\\to', 'S']","['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f48_f_1_12_0,FUNC,g : S \to S,a bijection,"['g', ':', 'S', '\\to', 'S']","['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f6d_f_0_0_0,SCAL,2 ,the constant,2,"['elementary-set-theory', 'infinity']"
6327106106a69a3f488d6f6d_f_0_2_0,SCAL,4 ,the constant,4,"['elementary-set-theory', 'infinity']"
6327106106a69a3f488d6f6d_f_1_14_0,FUNC,f:A\to B,a function,"['f', ':', 'A', '\\to', 'B']","['elementary-set-theory', 'infinity']"
6327106106a69a3f488d6f6d_f_2_5_0,FUNC,f(x) = 2x,the function,"['f', '(', 'x', ')', '=', '2', 'x']","['elementary-set-theory', 'infinity']"
6327106106a69a3f488d6f81_f_1_1_0,FUNC,N(q) = 1+q,two functions,"['N', '(', 'q', ')', '=', '1', '+', 'q']",['elementary-set-theory']
6327106106a69a3f488d6f81_f_6_8_0,SCAL,1/2,the even numbers,"['1', '/', '2']",['elementary-set-theory']
6327106106a69a3f488d6f81_f_6_30_0,SET,\mathbb N,some other fixed set,"['\\mathbb', 'N']",['elementary-set-theory']
6327106206a69a3f488d70fe_f_1_1_0,FUNC,f,a surjective function   f_1_1_0,['f'],"['terminology', 'discrete-mathematics', 'elementary-set-theory']"
6327106206a69a3f488d714a_f_2_0_0,FUNC,f : X \to Y,a function,"['f', ':', 'X', '\\to', 'Y']","['elementary-set-theory', 'equivalence-relations']"
6327106206a69a3f488d73dc_f_1_3_0,SET,"(-1/n,1/n)",the set   f_1_3_0,"['(', '-', '1', '/', 'n', ',', '1', '/', 'n', ')']","['real-analysis', 'intuition', 'elementary-set-theory', 'infinity']"
6327106206a69a3f488d7462_f_3_5_0,SET,\mathbb{N},an inductive set,\mathbb{N},"['elementary-set-theory', 'induction', 'natural-numbers']"
6327106206a69a3f488d7571_f_0_8_0,FUNC,f(n) = n,the trivial function,"['f', '(', 'n', ')', '=', 'n']",['elementary-set-theory']
6327106206a69a3f488d766a_f_0_6_0,FUNC,f,a function,['f'],"['elementary-set-theory', 'measure-theory']"
6327106206a69a3f488d76b5_f_0_2_0,SCAL,1,the numbers,1,"['algebra-precalculus', 'elementary-set-theory']"
6327106206a69a3f488d788f_f_2_12_0,SET,"\{0,1\}",the set,"['\\{', '0', ',', '1', '\\}']","['notation', 'elementary-set-theory']"
6327106206a69a3f488d788f_f_2_13_0,FUNC,"f\colon A\to \{0,1\}",all functions,"['f', '\\colon', 'A', '\\to', '\\{', '0', ',', '1', '\\}']","['notation', 'elementary-set-theory']"
6327106206a69a3f488d788f_f_2_15_0,SCAL,0,only the values,0,"['notation', 'elementary-set-theory']"
6327106206a69a3f488d7a0d_f_0_2_0,FUNC,f: M \rightarrow N,a function,"['f', ':', 'M', '\\rightarrow', 'N']","['elementary-set-theory', 'relations']"
6327106206a69a3f488d7a0d_f_1_13_0,FUNC,F,the function,['F'],"['elementary-set-theory', 'relations']"
6327106206a69a3f488d7af6_f_2_3_0,FUNC,f,A function,['f'],['elementary-set-theory']
6327106306a69a3f488d7c98_f_0_2_0,FUNC,f,a bijection,['f'],"['functions', 'elementary-set-theory']"
6327106306a69a3f488d7c98_f_2_2_0,FUNC,g \circ f,functions,"['g', '\\circ', 'f']","['functions', 'elementary-set-theory']"
6327106306a69a3f488d7e9c_f_0_3_0,FUNC,f,an injective function,['f'],"['elementary-set-theory', 'discrete-mathematics']"
6327106306a69a3f488d7f88_f_2_2_0,SCAL,3 ,number   f_2_2_0,3,"['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7f88_f_3_7_0,SCAL,0,the number   f_3_7_0,0,"['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7f88_f_8_1_0,SCAL,0,a number,0,"['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7f88_f_8_5_0,SCAL,7 ,the number,7,"['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7f8d_f_1_2_0,SCAL,2^a(2(2^b(2c+1)-1)+1)-1,the number,"['2', '^', 'a', '(', '2', '(', '2', '^', 'b', '(', '2', 'c', '+', '1', ')', '-', '1', ')', '+', '1', ')', '-', '1']","['logic', 'elementary-set-theory']"
6327106306a69a3f488d802f_f_0_3_0,SET,\mathbb{R},popular sets,\mathbb{R},"['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d802f_f_2_1_0,FUNC,"f:\mathbb{N} \rightarrow \{0, 1, 2, 3, 4, 5, 6, 7, 8, 9 \}",the functions,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\{', '0', ',', '1', ',', '2', ',', '3', ',', '4', ',', '5', ',', '6', ',', '7', ',', '8', ',', '9', '\\}']","['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d802f_f_2_2_0,SCAL,10 ,a single base- f_2_2_0 digit,1,"['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d802f_f_2_4_0,FUNC,f:\mathbb{N} \rightarrow A,all functions,"['f', ':', '\\mathbb{N}', '\\rightarrow', 'A']","['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d802f_f_2_6_0,FUNC,f:\mathbb{N} \rightarrow \mathbb{R},all functions,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\mathbb{R}']","['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d802f_f_3_4_0,SET,2^X,the set,"['2', '^', 'X']","['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d8043_f_2_1_0,FUNC,F\colon A\to A,a map   f_2_1_0,"['F', '\\colon', 'A', '\\to', 'A']","['functions', 'elementary-set-theory', 'relations', 'equivalence-relations']"
6327106306a69a3f488d8167_f_1_14_0,FUNC,f,a function,['f'],"['elementary-set-theory', 'transfinite-recursion']"
6327106306a69a3f488d8167_f_1_20_0,FUNC,f,a sequence function,['f'],"['elementary-set-theory', 'transfinite-recursion']"
6327106306a69a3f488d8167_f_1_23_0,FUNC,U\colon W\to X,a unique function,"['U', '\\colon', 'W', '\\to', 'X']","['elementary-set-theory', 'transfinite-recursion']"
6327106306a69a3f488d8167_f_1_30_0,FUNC,f\colon\mathbb{N}\to X,an   arbitrary   function,"['f', '\\colon', '\\mathbb{N}', '\\to', 'X']","['elementary-set-theory', 'transfinite-recursion']"
6327106306a69a3f488d8167_f_1_31_0,FUNC,g\colon \mathbb{N}\times X\to X,function,"['g', '\\colon', '\\mathbb{N}', '\\times', 'X', '\\to', 'X']","['elementary-set-theory', 'transfinite-recursion']"
6327106306a69a3f488d8167_f_2_0_0,FUNC,f,a function,['f'],"['elementary-set-theory', 'transfinite-recursion']"
6327106306a69a3f488d8199_f_2_4_0,FUNC,F,such an injection,['F'],"['analysis', 'elementary-set-theory']"
