fid,mtype,exprstr,mention,tokens,tags
6327106306a69a3f488d7cab_f_4_1_0,SCAL,d(t),the real - valued function,"['d', '(', 't', ')']","['calculus', 'geometry', 'euclidean-geometry']"
6327106306a69a3f488d7da8_f_1_6_0,FUNC,f,the level function,['f'],"['calculus', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry', 'multivariable-calculus']"
6327106306a69a3f488d7da8_f_1_10_0,FUNC,f,functions,['f'],"['calculus', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry', 'multivariable-calculus']"
6327106306a69a3f488d850b_f_0_0_0,FUNC,f,a function,['f'],"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_0_4_0,FUNC,f,the function,['f'],"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_0_5_0,FUNC,f,the function,['f'],"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_3_0_0,FUNC,"f(x,y)=-(x^2+1)(y^2+1)",The function,"['f', '(', 'x', ',', 'y', ')', '=', '-', '(', 'x', '^', '2', '+', '1', ')', '(', 'y', '^', '2', '+', '1', ')']","['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106406a69a3f488d8981_f_2_44_0,FUNC,g,the function,['g'],"['geometry', 'big-list', 'euclidean-geometry', 'axioms']"
6327106406a69a3f488d8981_f_2_45_0,SCAL,0,the number   f_2_45_0,0,"['geometry', 'big-list', 'euclidean-geometry', 'axioms']"
6327106406a69a3f488d8981_f_2_47_0,SCAL,180,the number,1,"['geometry', 'big-list', 'euclidean-geometry', 'axioms']"
632f9087837ac920af68489a_f_0_12_0,FUNC,A,that our function,['A'],"['geometry', 'measure-theory', 'euclidean-geometry']"
632f9089837ac920af68520d_f_0_3_0,FUNC,f:L\rightarrow \mathbb R,a smooth function   f_0_3_0,"['f', ':', 'L', '\\rightarrow', '\\mathbb', 'R']","['differential-geometry', 'euclidean-geometry', 'riemannian-geometry', 'surfaces']"
632f971c837ac920af686124_f_1_0_0,SCAL,3,the specific numbers,3,"['contest-math', 'euclidean-geometry', 'circles']"
6327106706a69a3f488dad58_f_1_32_0,SCAL,n^2+1,a constant times,"['n', '^', '2', '+', '1']","['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']"
6327106706a69a3f488dad58_f_1_46_0,SCAL,n^2+1,a constant times   f_1_46_0,"['n', '^', '2', '+', '1']","['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']"
6327106706a69a3f488dad77_f_2_18_0,SCAL,1,complex absolute value   f_2_18_0,1,"['euclidean-geometry', 'rotations']"
6327106706a69a3f488db123_f_2_37_0,FUNC,h,a function,['h'],"['geometry', 'trigonometry', 'euclidean-geometry']"
