fid,mtype,exprstr,mention,tokens,tags
6327106206a69a3f488d7164_f_4_9_0,FUNC,f,function,['f'],"['calculus', 'trigonometry', 'fourier-series', 'trigonometric-series']"
6327106206a69a3f488d78b7_f_3_8_0,FUNC,\exp,the function,\exp,"['trigonometry', 'complex-numbers', 'logarithms']"
6327106206a69a3f488d7c1a_f_2_0_0,SCAL,0,two real numbers,0,['trigonometry']
6327106306a69a3f488d7e1b_f_1_2_0,FUNC,f,a function,['f'],"['real-analysis', 'sequences-and-series', 'trigonometry']"
6327106306a69a3f488d8721_f_2_1_0,FUNC,\sin,the function name   f_2_1_0,\sin,"['calculus', 'integration', 'trigonometry', 'definite-integrals']"
6327106306a69a3f488d8736_f_1_2_0,FUNC,f,the function,['f'],"['trigonometry', 'numerical-methods']"
6327106406a69a3f488d8d44_f_1_9_0,SCAL,\frac{1}{2},the value   f_1_9_0,"['\\frac', '{', '1', '}', '{', '2', '}']",['trigonometry']
6327106406a69a3f488d8dcc_f_1_21_0,SCAL,e^{it},a complex number,"['e', '^', '{', 'i', 't', '}']","['trigonometry', 'logarithms']"
6327106406a69a3f488d8dcc_f_1_27_0,SCAL,it,the purely imaginary numbers,"['i', 't']","['trigonometry', 'logarithms']"
6327106406a69a3f488d8dcc_f_2_12_0,FUNC,f,a holomorphic function,['f'],"['trigonometry', 'logarithms']"
6327106406a69a3f488d9138_f_0_0_0,SCAL,90 ,any negative number,9,['trigonometry']
6327106406a69a3f488d91e1_f_1_10_0,FUNC,f,a function,['f'],"['trigonometry', 'notation', 'faq']"
6327106406a69a3f488d92ff_f_6_46_0,SCAL,60 ,the values,6,['trigonometry']
6327106406a69a3f488d946b_f_2_2_0,SCAL,1,the rounded number,1,"['trigonometry', 'calculator']"
6327106506a69a3f488d96fa_f_0_4_0,FUNC,b,function,['b'],"['geometry', 'trigonometry']"
6327106506a69a3f488d9a71_f_0_1_0,FUNC,\cos,trigonometric function,\cos,['trigonometry']
6327106606a69a3f488da2b6_f_5_0_0,SCAL,1 ,modulus ( absolute value,1,"['trigonometry', 'complex-numbers', 'exponentiation']"
6327106606a69a3f488da4a3_f_2_0_0,FUNC,f,a function,['f'],"['calculus', 'integration', 'trigonometry']"
632f833f837ac920af66aa89_f_0_15_0,FUNC,f,a scalar function,['f'],"['real-analysis', 'trigonometry', 'algebraic-geometry', 'roots']"
632f833f837ac920af66ab32_f_1_32_0,FUNC,\arcsin,The mathematical function,\arcsin,"['trigonometry', 'vectors', 'circles', 'rotations', 'tangent-line']"
632f8340837ac920af66b513_f_1_14_0,FUNC,E,the function,['E'],"['geometry', 'trigonometry', 'conic-sections']"
6327106706a69a3f488dae3b_f_0_7_0,FUNC,f : \mathbb{C} \to \mathbb{C},a suitable meromorphic function,"['f', ':', '\\mathbb{C}', '\\to', '\\mathbb{C}']","['number-theory', 'complex-analysis', 'algebraic-geometry', 'trigonometry', 'geometric-topology']"
632f8341837ac920af66b7aa_f_4_5_0,FUNC,f,a concave function,['f'],"['calculus', 'trigonometry', 'inequality']"
6327106706a69a3f488daf01_f_2_37_0,SCAL,-1,the constant term,"['-', '1']","['analysis', 'trigonometry']"
6327106706a69a3f488dafd1_f_1_3_0,FUNC,f,the normal floor function   f_1_3_0,['f'],['trigonometry']
6327106706a69a3f488db123_f_2_37_0,FUNC,h,a function,['h'],"['geometry', 'trigonometry', 'euclidean-geometry']"
6327106706a69a3f488db237_f_4_1_0,SCAL,1.58,the number   f_4_1_0,"['1', '5']","['trigonometry', 'approximation']"
6327106706a69a3f488db373_f_2_15_0,SCAL,3/2,our constant factor,"['3', '/', '2']","['calculus', 'integration', 'trigonometry']"
6327106706a69a3f488db5b6_f_1_5_0,FUNC,x,an algebraic function,['x'],['trigonometry']
6327106706a69a3f488db5dd_f_1_2_0,FUNC,h,"any continuous , differentiable function   f_1_2_0",['h'],['trigonometry']
6327106706a69a3f488db5dd_f_3_16_0,SCAL,5/2,the nice number   f_3_16_0,"['5', '/', '2']",['trigonometry']
6327106706a69a3f488db5dd_f_3_55_0,SCAL,x^2+3xy+5y^2,Thus the minimum value,"['x', '^', '2', '+', '3', 'x', 'y', '+', '5', 'y', '^', '2']",['trigonometry']
6327106806a69a3f488dba04_f_0_2_0,FUNC,\sin,the trigonometric functions,\sin,"['calculus', 'trigonometry']"
6327106806a69a3f488dba04_f_2_4_0,FUNC,f,two functions,['f'],"['calculus', 'trigonometry']"
632f8345837ac920af66d33e_f_1_3_0,FUNC,u,some functions,['u'],"['calculus', 'multivariable-calculus', 'trigonometry', 'definition']"
632f8346837ac920af66d7f8_f_1_20_0,FUNC,\arcsin,a function,\arcsin,"['algebra-precalculus', 'trigonometry']"
