fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106106a69a3f488d6eb8_f_1_0_0,FUNC,"f(x,y)=x/y",the function,"['f', '(', 'x', ',', 'y', ')', '=', 'x', '/', 'y']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'mp', '__ANON_1', 'DIV', '__ANON_1']",['algebra-precalculus']
6327106106a69a3f488d6f55_f_3_0_0,SCAL,\frac{a+bi}{c+di},two complex numbers,"['\\frac', '{', 'a', '+', 'b', 'i', '}', '{', 'c', '+', 'd', 'i', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE']",['algebra-precalculus']
6327106106a69a3f488d6f5c_f_5_0_0,FUNC,g,the functions,['g'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functional-equations']"
6327106106a69a3f488d6f5c_f_5_4_0,FUNC,g,the function,['g'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functional-equations']"
6327106106a69a3f488d6f5c_f_5_7_0,FUNC,g,every function   f_5_7_0,['g'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functional-equations']"
6327106106a69a3f488d6f5c_f_5_14_0,FUNC,f,The function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functional-equations']"
6327106206a69a3f488d705d_f_0_0_0,FUNC,f:Y\to Z,an invertible function,"['f', ':', 'Y', '\\to', 'Z']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['algebra-precalculus', 'functions', 'inverse-function', 'function-and-relation-composition']"
6327106206a69a3f488d710b_f_2_2_0,SCAL,-\frac{1}{2},the turning point values,"['-', '\\frac', '{', '1', '}', '{', '2', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']",['algebra-precalculus']
6327106206a69a3f488d7113_f_1_2_0,SCAL,2 ,each absolute value splits,2,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'faq']"
6327106206a69a3f488d7113_f_1_3_0,SCAL,n+1,the number line,"['n', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'faq']"
