fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106306a69a3f488d7da8_f_1_6_0,FUNC,f,the level function,['f'],"['func_name', '__ANON_1']","['calculus', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry', 'multivariable-calculus']"
6327106306a69a3f488d7da8_f_1_10_0,FUNC,f,functions,['f'],"['func_name', '__ANON_1']","['calculus', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry', 'multivariable-calculus']"
6327106306a69a3f488d7f98_f_0_0_0,FUNC,"F(x, y) = 0",function,"['F', '(', 'x', ',', 'y', ')', '=', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']","['geometry', 'analytic-geometry', 'plane-curves', 'conic-sections']"
6327106406a69a3f488d8f0d_f_0_0_0,SCAL,3 ,", z value",3,"['expr_atom', '__ANON_3']",['analytic-geometry']
6327106406a69a3f488d9333_f_2_1_0,FUNC,f(x)=ax^{2}+bx+c,the quadratic function   f_2_1_0,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '{', '2', '}', '+', 'b', 'x', '+', 'c']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1']","['calculus', 'geometry', 'analytic-geometry', 'quadratics']"
6327106406a69a3f488d93bc_f_1_30_0,SCAL,4,the value,4,"['expr_atom', '__ANON_3']","['geometry', 'algebra-precalculus', 'analytic-geometry', 'conic-sections']"
6327106506a69a3f488d9844_f_0_12_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['calculus', 'analytic-geometry']"
6327106506a69a3f488d9e8d_f_0_2_0,FUNC,t,a function   f_0_2_0,['t'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry']"
632fb8db837ac920af6bc95c_f_0_0_0,FUNC,f(x)=x^2,the function,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['analysis', 'functions', 'analytic-geometry', 'ratio']"
632fb8db837ac920af6bcaa9_f_1_5_0,FUNC,g : \mathbb{R}^4 \to \mathbb{R},a smooth map,"['g', ':', '\\mathbb{R}', '^', '4', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_constant', 'SET_BASIC']","['multivariable-calculus', 'differential-geometry', 'analytic-geometry']"
632fb8e0837ac920af6bee8d_f_1_9_0,SCAL,2,a maximal value,2,"['expr_atom', '__ANON_3']","['optimization', 'analytic-geometry', 'circles', 'conic-sections', 'maxima-minima']"
632fb8e0837ac920af6bef15_f_0_14_0,FUNC,m,some function,['m'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry', 'tangent-line']"
632fb8e1837ac920af6bf2db_f_1_0_0,SCAL,4,Maximum of two numbers,4,"['expr_atom', '__ANON_3']","['analytic-geometry', 'coordinate-systems', 'locus']"
6327106906a69a3f488dc61e_f_0_4_0,SCAL,2 ,The boundary value,2,"['expr_atom', '__ANON_3']","['geometry', 'intuition', 'analytic-geometry', 'plane-curves', 'polar-coordinates']"
6327106906a69a3f488dcb17_f_1_0_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
6327106906a69a3f488dcb17_f_2_14_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
632f834b837ac920af66fa40_f_0_7_0,FUNC,x,the function,['x'],"['func_name', '__ANON_1']","['algebraic-geometry', 'analytic-geometry']"
632f834b837ac920af66fa40_f_0_19_0,FUNC,y,the function,['y'],"['func_name', '__ANON_1']","['algebraic-geometry', 'analytic-geometry']"
632ff6d3837ac920af71915c_f_0_0_0,FUNC,f:\mathbb{R}^2\to\mathbb{R}^2,a mapping   f_0_0_0,"['f', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['geometry', 'analytic-geometry', 'computational-geometry']"
6327106a06a69a3f488ddcfe_f_1_0_0,FUNC,f: \mathbb{Z} \to \mathbb{Z},the map,"['f', ':', '\\mathbb{Z}', '\\to', '\\mathbb{Z}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry', 'analytic-geometry']"
