fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106106a69a3f488d6e60_f_2_1_0,SCAL,2n+1,how odd numbers,"['2', 'n', '+', '1']","['additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']",['elementary-number-theory']
6327106106a69a3f488d6f17_f_3_0_0,SCAL,p - 1,the three consecutive numbers,"['p', '-', '1']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'divisibility']"
6327106106a69a3f488d6f17_f_9_1_0,SCAL,1 ,three consecutive numbers,1,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'divisibility']"
6327106106a69a3f488d6f58_f_9_2_0,SCAL,(n+1)^3 + 2(n+1),the number   f_9_2_0,"['(', 'n', '+', '1', ')', '^', '3', '+', '2', '(', 'n', '+', '1', ')']","['additive', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', 'expr_atom', '__ANON_3', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN']","['elementary-number-theory', 'induction']"
6327106206a69a3f488d70f3_f_2_6_0,SCAL,25,two new numbers,"['2', '5']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'modular-arithmetic']"
6327106206a69a3f488d70f3_f_2_10_0,SCAL,9 ,two new numbers,9,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'modular-arithmetic']"
6327106206a69a3f488d7285_f_2_2_0,SCAL,x/y,a rational number,"['x', '/', 'y']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['number-theory', 'elementary-number-theory', 'divisibility']"
6327106206a69a3f488d768d_f_2_18_0,SCAL,(m+1),the larger number,"['(', 'm', '+', '1', ')']","['group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN']","['combinatorics', 'elementary-number-theory', 'summation', 'ceiling-and-floor-functions', 'totient-function']"
6327106206a69a3f488d7982_f_1_0_0,SCAL,3 ,each number mod,3,"['expr_atom', '__ANON_3']","['abstract-algebra', 'elementary-number-theory']"
6327106206a69a3f488d7982_f_1_2_0,SCAL,4 ,the numbers,4,"['expr_atom', '__ANON_3']","['abstract-algebra', 'elementary-number-theory']"
