fid,mtype,exprstr,mention,tags,tokens,type_tokens
6327106106a69a3f488d6eec_f_1_3_0,SCAL,- (b/2a)^2 + c/a,The expression,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['-', '(', 'b', '/', '2', 'a', ')', '^', '2', '+', 'c', '/', 'a']","['additive', 'unary', 'SUB', 'exp', 'group', 'L_PAREN', 'mp', '__ANON_1', 'DIV', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'mp', '__ANON_1', 'DIV', '__ANON_1']"
6327106106a69a3f488d6eec_f_1_5_0,SCAL,(x + b/2a)^2,zero,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['(', 'x', '+', 'b', '/', '2', 'a', ')', '^', '2']","['exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'mp', '__ANON_1', 'DIV', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3']"
6327106106a69a3f488d6eec_f_1_6_0,SCAL,(x + b/2a)^2,zero,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['(', 'x', '+', 'b', '/', '2', 'a', ')', '^', '2']","['exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'mp', '__ANON_1', 'DIV', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3']"
6327106106a69a3f488d6eec_f_2_2_0,SCAL,-\frac{b}{a},their sum,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['-', '\\frac', '{', 'b', '}', '{', 'a', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
6327106106a69a3f488d6eec_f_2_4_0,SCAL,-\frac{b}{2a},,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['-', '\\frac', '{', 'b', '}', '{', '2', 'a', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']"
6327106106a69a3f488d6eec_f_2_9_0,SCAL,-\frac{b}{2a},- coordinate   f_2_9_0,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['-', '\\frac', '{', 'b', '}', '{', '2', 'a', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']"
6327106106a69a3f488d6eec_f_4_11_0,SCAL,-\dfrac{b}{2a},the parabola,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['-', '\\dfrac', '{', 'b', '}', '{', '2', 'a', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']"
6327106106a69a3f488d6eec_f_6_0_0,SCAL,\frac{b}{2a},,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['\\frac', '{', 'b', '}', '{', '2', 'a', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']"
6327106106a69a3f488d6eec_f_6_1_0,SCAL,\frac{b}{2a},a maximum,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']","['\\frac', '{', 'b', '}', '{', '2', 'a', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']"
6327106206a69a3f488d72f5_f_1_2_0,SET,"(1, \frac{9}{2})",,"['geometry', 'algebra-precalculus', 'analytic-geometry']","['(', '1', ',', '\\frac', '{', '9', '}', '{', '2', '}', ')']","['interval', 'L_PAREN', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_PAREN']"
