fid,mtype,exprstr,mention,tags,tokens,type_tokens
632f89fa837ac920af673698_f_0_4_0,SET,"(\frac{r}{2}, \frac{3r}{2})",,"['real-analysis', 'convergence-divergence', 'taylor-expansion', 'elementary-functions', 'analytic-functions']","['(', '\\frac', '{', 'r', '}', '{', '2', '}', ',', '\\frac', '{', '3', 'r', '}', '{', '2', '}', ')']","['interval', 'L_PAREN', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'COMMA', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_PAREN']"
632f8a01837ac920af676744_f_0_0_0,FUNC,f(x)=12x^3-32x^2+25x-6,,['elementary-functions'],"['f', '(', 'x', ')', '=', '12', 'x', '^', '3', '-', '32', 'x', '^', '2', '+', '25', 'x', '-', '6']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']"
632f8a09837ac920af679817_f_3_2_0,FUNC,"
f(x) = x^4(x^2-4)^2 + 3x^2(x-2)^2 + 2(x-2)^2 + 1
",,"['calculus', 'algebra-precalculus', 'polynomials', 'maxima-minima', 'elementary-functions']","['f', '(', 'x', ')', '=', 'x', '^', '4', '(', 'x', '^', '2', '-', '4', ')', '^', '2', '+', '3', 'x', '^', '2', '(', 'x', '-', '2', ')', '^', '2', '+', '2', '(', 'x', '-', '2', ')', '^', '2', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'exp', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']"
632f8a09837ac920af6798cf_f_0_1_0,SCAL,acx^4 + b(a + c)x^3 + (a^2 + b^2 + c^2)x^2 + b(a + c)x + ac,,"['algebra-precalculus', 'polynomials', 'elementary-functions']","['a', 'c', 'x', '^', '4', '+', 'b', '(', 'a', '+', 'c', ')', 'x', '^', '3', '+', '(', 'a', '^', '2', '+', 'b', '^', '2', '+', 'c', '^', '2', ')', 'x', '^', '2', '+', 'b', '(', 'a', '+', 'c', ')', 'x', '+', 'a', 'c']","['additive', 'additive', 'additive', 'unary', '__ANON_1', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', 'group', 'L_PAREN', 'additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']"
63271c3606a69a3f488e32c9_f_1_3_0,SCAL, \dfrac{3}{7} +  \dfrac{1}{8} + \dfrac{ 2}{9} +  \dfrac{3}{10} + \dfrac{1}{11} -\dfrac{14}{12},,"['optimization', 'fractions', 'elementary-functions']","['\\dfrac', '{', '3', '}', '{', '7', '}', '+', '\\dfrac', '{', '1', '}', '{', '8', '}', '+', '\\dfrac', '{', '2', '}', '{', '9', '}', '+', '\\dfrac', '{', '3', '}', '{', '10', '}', '+', '\\dfrac', '{', '1', '}', '{', '11', '}', '-', '\\dfrac', '{', '14', '}', '{', '12', '}']","['additive', 'additive', 'additive', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'ADD', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE']"
632f8a0c837ac920af67abc5_f_0_1_0,SET,\mathbb{R}^3,,"['real-analysis', 'functions', 'multivariable-calculus', 'graphing-functions', 'elementary-functions']","['\\mathbb{R}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f8a0c837ac920af67abc5_f_0_2_0,SET,\mathbb{R}^2,,"['real-analysis', 'functions', 'multivariable-calculus', 'graphing-functions', 'elementary-functions']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
63271c3606a69a3f488e32c9_f_1_10_0,SET,"\{5,7,8,9,11\}",,"['optimization', 'fractions', 'elementary-functions']","['\\{', '5', ',', '7', ',', '8', ',', '9', ',', '11', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE_LITERAL']"
63271c3606a69a3f488e32c9_f_1_11_0,SET,"\{7,8,9,10,11\}",,"['optimization', 'fractions', 'elementary-functions']","['\\{', '7', ',', '8', ',', '9', ',', '10', ',', '11', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', 'integer', '__ANON_3', '__ANON_3', 'COMMA', 'item', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE_LITERAL']"
63271c3806a69a3f488e49a5_f_1_1_0,SCAL,\frac{4}{n},one,"['algebra-precalculus', 'summation', 'ceiling-and-floor-functions', 'elementary-functions']","['\\frac', '{', '4', '}', '{', 'n', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
