fid,mtype,exprstr,mention,tags,tokens,type_tokens
6327106106a69a3f488d6f0f_f_2_5_0,SCAL,c^2 - b^2 - a^2,,"['geometry', 'algebra-precalculus', 'euclidean-geometry', 'triangles', 'big-list']","['c', '^', '2', '-', 'b', '^', '2', '-', 'a', '^', '2']","['additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']"
6327106206a69a3f488d6fcf_f_1_7_0,SCAL,\frac{3}{7},,['euclidean-geometry'],"['\\frac', '{', '3', '}', '{', '7', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d6fcf_f_1_10_0,SCAL,\frac{1}{10},,['euclidean-geometry'],"['\\frac', '{', '1', '}', '{', '10', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d6fcf_f_3_5_0,SCAL,\frac{3}{7},,['euclidean-geometry'],"['\\frac', '{', '3', '}', '{', '7', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d712c_f_3_26_0,SET,\mathbb R^2,,"['linear-algebra', 'euclidean-geometry']","['\\mathbb', 'R', '^', '2']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']"
6327106206a69a3f488d7408_f_1_0_0,SET,\mathbb{R}^2,,['euclidean-geometry'],"['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106206a69a3f488d7408_f_4_0_0,SET,\mathbb{R}^2,,['euclidean-geometry'],"['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106206a69a3f488d7611_f_1_0_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'tiling']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106206a69a3f488d7c1d_f_0_0_0,SET,\mathbb{Q}^3,,"['geometry', 'euclidean-geometry']","['\\mathbb{Q}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106206a69a3f488d7c1d_f_0_4_0,SET,\mathbb{Q}^3,irrational points,"['geometry', 'euclidean-geometry']","['\\mathbb{Q}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106306a69a3f488d7cab_f_3_5_0,FUNC,f(x) = (x-1)^2 + (y(x)-1)^2 + (z(x)-1)^2,,"['calculus', 'geometry', 'euclidean-geometry']","['f', '(', 'x', ')', '=', '(', 'x', '-', '1', ')', '^', '2', '+', '(', 'y', '(', 'x', ')', '-', '1', ')', '^', '2', '+', '(', 'z', '(', 'x', ')', '-', '1', ')', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', 'group', 'L_PAREN', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', 'group', 'L_PAREN', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3']"
