fid,mtype,exprstr,mention,tags,tokens,type_tokens
6327106106a69a3f488d6e90_f_12_13_0,FUNC,\cos(0) = 1,,"['calculus', 'trigonometry']","['\\cos', '(', '0', ')', '=', '1']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']"
6327106106a69a3f488d6f16_f_3_3_0,SCAL,x^2 + y^2 - w^2 - u^2,,"['geometry', 'trigonometry']","['x', '^', '2', '+', 'y', '^', '2', '-', 'w', '^', '2', '-', 'u', '^', '2']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']"
6327106106a69a3f488d6f6a_f_3_0_0,FUNC,\cos(x) = \frac{1}{2}(e^{ix} + e^{-ix}),the   complex representation,"['intuition', 'trigonometry']","['\\cos', '(', 'x', ')', '=', '\\frac', '{', '1', '}', '{', '2', '}', '(', 'e', '^', '{', 'i', 'x', '}', '+', 'e', '^', '{', '-', 'i', 'x', '}', ')']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'ADD', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'R_PAREN']"
6327106106a69a3f488d6f6a_f_3_1_0,FUNC,\sin(x) = \frac{1}{2i}(e^{ix} - e^{-ix}),,"['intuition', 'trigonometry']","['\\sin', '(', 'x', ')', '=', '\\frac', '{', '1', '}', '{', '2', 'i', '}', '(', 'e', '^', '{', 'i', 'x', '}', '-', 'e', '^', '{', '-', 'i', 'x', '}', ')']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'SUB', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'R_PAREN']"
6327106206a69a3f488d7140_f_2_0_0,SCAL,\frac{a^2+b^2-c^2}{2ab},a triangle,"['algebra-precalculus', 'analysis', 'trigonometry', 'soft-question']","['\\frac', '{', 'a', '^', '2', '+', 'b', '^', '2', '-', 'c', '^', '2', '}', '{', '2', 'a', 'b', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', '__ANON_1', 'R_BRACE']"
6327106206a69a3f488d71b2_f_2_15_0,FUNC,f(1)=5.2044,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '1', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_16_0,FUNC,f(2)=14.238,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '2', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_17_0,FUNC,f(3)=25.232,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '3', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_18_0,FUNC,f(4)=37.353,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '4', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_20_0,FUNC,f(6)=62.647,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '6', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
