fid,mtype,exprstr,mention,tags
6327106106a69a3f488d6e43_f_10_1_0,SCAL,\dfrac{a}{1 - r},sum   f_10_1_0,"['real-analysis', 'algebra-precalculus', 'real-numbers', 'decimal-expansion']"
6327106106a69a3f488d6e99_f_0_1_0,SCAL,ax^3 + bx^2 + cx+ d,,"['algebra-precalculus', 'polynomials', 'roots', 'symmetric-polynomials']"
6327106106a69a3f488d6eb3_f_3_4_0,FUNC,g(z)=4z^4+8x^3 -3z^2 -9z,complex numbers,"['algebra-precalculus', 'polynomials', 'roots', 'quartics']"
6327106106a69a3f488d6eec_f_1_3_0,SCAL,- (b/2a)^2 + c/a,The expression,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_1_5_0,SCAL,(x + b/2a)^2,zero,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_1_6_0,SCAL,(x + b/2a)^2,zero,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_2_2_0,SCAL,-\frac{b}{a},their sum,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_2_4_0,SCAL,-\frac{b}{2a},,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_2_9_0,SCAL,-\frac{b}{2a},- coordinate   f_2_9_0,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_4_11_0,SCAL,-\dfrac{b}{2a},the parabola,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_6_0_0,SCAL,\frac{b}{2a},,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6eec_f_6_1_0,SCAL,\frac{b}{2a},a maximum,"['algebra-precalculus', 'analytic-geometry', 'conic-sections', 'plane-curves']"
6327106106a69a3f488d6f05_f_5_6_0,SCAL,2sy^{2}+s^{2},,"['algebra-precalculus', 'polynomials', 'quartics']"
6327106106a69a3f488d6f0f_f_2_5_0,SCAL,c^2 - b^2 - a^2,,"['geometry', 'algebra-precalculus', 'euclidean-geometry', 'triangles', 'big-list']"
6327106106a69a3f488d6f5c_f_1_1_0,FUNC,f(x)=\frac{1}{2}+x,example,"['algebra-precalculus', 'functional-equations']"
6327106106a69a3f488d6f5c_f_1_2_0,FUNC,f(x)=\frac{1}{2}+99x^3+7x^5,,"['algebra-precalculus', 'functional-equations']"
6327106106a69a3f488d6f5c_f_4_0_0,FUNC,f(x) = ax + b,,"['algebra-precalculus', 'functional-equations']"
6327106106a69a3f488d6f5c_f_4_2_0,FUNC,f(x) = ax + 1/2,the type,"['algebra-precalculus', 'functional-equations']"
6327106106a69a3f488d6f7c_f_3_3_0,SCAL,(a+b) \times (a+b),,['algebra-precalculus']
6327106106a69a3f488d6f7c_f_3_5_0,SCAL,a \times a \times a,,['algebra-precalculus']
6327106106a69a3f488d6f7c_f_3_6_0,SCAL,b \times b \times b,,['algebra-precalculus']
6327106106a69a3f488d6f7c_f_3_7_0,SCAL,(a+b) \times (a+b) \times (a+b),,['algebra-precalculus']
6327106206a69a3f488d7016_f_0_0_0,FUNC,P(x) = x^x ,,['algebra-precalculus']
6327106206a69a3f488d7047_f_7_5_0,SCAL,\frac{n(n-1)}{2},,"['sequences-and-series', 'algebra-precalculus', 'summation', 'arithmetic-progressions', 'faq']"
6327106206a69a3f488d7047_f_11_3_0,SCAL,\binom{n+1}{2},,"['sequences-and-series', 'algebra-precalculus', 'summation', 'arithmetic-progressions', 'faq']"
6327106206a69a3f488d7087_f_2_1_0,FUNC,f(x)=ax^{2}+bx+c,,['algebra-precalculus']
6327106206a69a3f488d70b6_f_0_2_0,SET,"(3, 200000)",,['algebra-precalculus']
6327106206a69a3f488d70b6_f_2_2_0,SET,"(11, 5.000)",,['algebra-precalculus']
6327106206a69a3f488d70b6_f_2_3_0,SET,"(3, 200.000)",,['algebra-precalculus']
6327106206a69a3f488d70bd_f_0_0_0,FUNC,p(x)=k(x-a)(x-b)(x-c),a cubic polynomial,"['calculus', 'algebra-precalculus']"
6327106206a69a3f488d70bd_f_1_0_0,FUNC,p(x) = (x - a) q(x),,"['calculus', 'algebra-precalculus']"
6327106206a69a3f488d70bd_f_1_18_0,SCAL,(x - a) q(r),,"['calculus', 'algebra-precalculus']"
6327106206a69a3f488d710b_f_1_3_0,FUNC,f(x)=g(x)h(x),the two equations,['algebra-precalculus']
6327106206a69a3f488d710b_f_1_5_0,FUNC,f(x)=-g(x)h(x),,['algebra-precalculus']
6327106206a69a3f488d710b_f_2_1_0,SCAL,\frac{b}{a},,['algebra-precalculus']
6327106206a69a3f488d710b_f_2_9_0,SCAL,\frac{1}{4},The turning points,['algebra-precalculus']
6327106206a69a3f488d710b_f_2_10_0,SCAL,\frac{2}{3},,['algebra-precalculus']
6327106206a69a3f488d710b_f_2_13_0,SCAL,\frac{1}{2},,['algebra-precalculus']
6327106206a69a3f488d710b_f_2_14_0,SET,"[\frac{1}{4},\frac{2}{3}]",the interval,['algebra-precalculus']
6327106206a69a3f488d7110_f_0_11_0,SCAL,\frac{y}{x},the pedestrian,['algebra-precalculus']
6327106206a69a3f488d7140_f_2_0_0,SCAL,\frac{a^2+b^2-c^2}{2ab},a triangle,"['algebra-precalculus', 'analysis', 'trigonometry', 'soft-question']"
6327106206a69a3f488d7190_f_1_1_0,SCAL,\frac{2}{5},slope   f_1_1_0,['algebra-precalculus']
6327106206a69a3f488d7190_f_1_2_0,SCAL,-\frac{5}{2},slope   f_1_2_0,['algebra-precalculus']
6327106206a69a3f488d71e1_f_4_6_0,SCAL,\frac{x-a}{b-a},,"['algebra-precalculus', 'terminology', 'arithmetic']"
6327106206a69a3f488d71e1_f_4_9_0,SCAL,(x-a) \frac{d-c}{b-a},,"['algebra-precalculus', 'terminology', 'arithmetic']"
6327106206a69a3f488d7226_f_0_0_0,SCAL,\frac{p^y \cdot (pq)^o}{p^{2y+o} \cdot q^{o-2}},the following function,['algebra-precalculus']
6327106206a69a3f488d7226_f_0_1_0,SCAL,p^{-y} \cdot q^2,The final answer,['algebra-precalculus']
6327106206a69a3f488d723c_f_0_0_0,SCAL,7^{17} - 7^{15},,"['algebra-precalculus', 'elementary-number-theory', 'divisibility']"
6327106206a69a3f488d7295_f_3_17_0,FUNC,h(x)=x^{2n+1},,"['algebra-precalculus', 'functions']"
6327106206a69a3f488d72f5_f_1_2_0,SET,"(1, \frac{9}{2})",,"['geometry', 'algebra-precalculus', 'analytic-geometry']"
6327106206a69a3f488d7311_f_2_5_0,SCAL,230.83572496430610126240565755851882319115230819881722120213855733164212869451291269453666757225157658376140985147843194582191305052276721850285291090752309248454422116629840542211766342541591511108644544,,"['sequences-and-series', 'algebra-precalculus', 'summation', 'harmonic-numbers']"
6327106206a69a3f488d7311_f_2_6_0,SCAL,230.83572496430610126240565755851882319115230819881722120213855733164212869451291269453666757225157658376140985147843194582191305052276721850285291090752309248454422116629840542211766342541591511108644546,,"['sequences-and-series', 'algebra-precalculus', 'summation', 'harmonic-numbers']"
6327106206a69a3f488d7311_f_5_5_0,SCAL,x(x-1)(x-2)\cdots(x-(n-1)),,"['sequences-and-series', 'algebra-precalculus', 'summation', 'harmonic-numbers']"
6327106206a69a3f488d7311_f_5_6_0,SCAL,x(x+1)(x+2)\cdots (x+n-1),,"['sequences-and-series', 'algebra-precalculus', 'summation', 'harmonic-numbers']"
6327106206a69a3f488d7387_f_1_2_0,SCAL,(x - 4i)(x + 4i),,['algebra-precalculus']
6327106206a69a3f488d7387_f_3_1_0,FUNC,p(x)=(x-a)q(x),,['algebra-precalculus']
6327106206a69a3f488d7387_f_3_6_0,FUNC,q(x)=p(x)/(x-a),,['algebra-precalculus']
6327106206a69a3f488d7388_f_2_9_0,SCAL,\frac{a(x)}{b(x)},the form,['algebra-precalculus']
6327106206a69a3f488d73bc_f_0_0_0,SCAL,{x^3-12x+9},,['algebra-precalculus']
6327106206a69a3f488d73bc_f_0_1_0,SCAL,(x-3) (x^2+3 x-3),,['algebra-precalculus']
6327106206a69a3f488d73bc_f_1_1_0,SCAL,x^3 - 12x  + 9,,['algebra-precalculus']
6327106206a69a3f488d73bc_f_2_0_0,SCAL,x^{3}-12x+9,,['algebra-precalculus']
6327106206a69a3f488d73bc_f_2_5_0,FUNC,f(x)=x^{3}-12x+9,,['algebra-precalculus']
6327106206a69a3f488d73bc_f_2_13_0,SCAL,ax^{2}+bx+c,,['algebra-precalculus']
6327106206a69a3f488d741f_f_0_2_0,SCAL, and the remainder in a savings bond that earns ,,['algebra-precalculus']
6327106206a69a3f488d741f_f_0_7_0,SCAL,0.07(7000-x),,['algebra-precalculus']
6327106206a69a3f488d7456_f_0_0_0,SCAL,6x^2 + 18x - 60,,['algebra-precalculus']
6327106206a69a3f488d7456_f_0_1_0,SCAL,6(x - 1.5 + 3.25i)(x - 1.5 - 3.25i),,['algebra-precalculus']
6327106206a69a3f488d7456_f_0_2_0,SCAL,6(x^2 + 3x - 10),,['algebra-precalculus']
6327106206a69a3f488d7456_f_0_3_0,SCAL,6(x^2 - 3x + 2.25) - 12.25,,['algebra-precalculus']
6327106206a69a3f488d7456_f_0_4_0,SCAL,6(x - 1.5)^2 + (-12.25),,['algebra-precalculus']
6327106206a69a3f488d7456_f_0_6_0,SCAL,6(x - 1.5 + 3.25i)(x - 1.5 - 3.25i),    Thus my answer,['algebra-precalculus']
6327106206a69a3f488d7456_f_2_1_0,SCAL,6(x^2+3x-10),,['algebra-precalculus']
6327106206a69a3f488d7456_f_2_12_0,SCAL,6(x-5)(x+2),the expected answer,['algebra-precalculus']
6327106206a69a3f488d74ad_f_2_1_0,SCAL,n(n+1)(n-4),,"['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d74dc_f_0_10_0,SCAL,1+\frac{p^2}{16(1-p/2)},,['algebra-precalculus']
6327106206a69a3f488d7528_f_0_1_0,SCAL,n^3 + (n+1)^3 + (n+2)^3,f_0_0_0   divides,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_0_7_0,SCAL,n^3 + (n+1)^3 + (n+2)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_0_10_0,SCAL,k^3 + (k+1)^3 + (k+2)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_1_0,SCAL,n^3 + (n+1)^3 + (n+2)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_2_0,SCAL,(n+1)^3 + (n+2)^3 + (n+3)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_3_0,SCAL,[(n+1)^3 + (n+2)^3 + (n+3)^3] -[n^3 + (n+1)^3 + (n+2)^3],,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
