fid,mtype,exprstr,mention,tags
632f89fa837ac920af673698_f_0_4_0,SET,"(\frac{r}{2}, \frac{3r}{2})",,"['real-analysis', 'convergence-divergence', 'taylor-expansion', 'elementary-functions', 'analytic-functions']"
632f8a01837ac920af676744_f_0_0_0,FUNC,f(x)=12x^3-32x^2+25x-6,,['elementary-functions']
632f8a09837ac920af679817_f_3_2_0,FUNC,"
f(x) = x^4(x^2-4)^2 + 3x^2(x-2)^2 + 2(x-2)^2 + 1
",,"['calculus', 'algebra-precalculus', 'polynomials', 'maxima-minima', 'elementary-functions']"
632f8a09837ac920af6798cf_f_0_1_0,SCAL,acx^4 + b(a + c)x^3 + (a^2 + b^2 + c^2)x^2 + b(a + c)x + ac,,"['algebra-precalculus', 'polynomials', 'elementary-functions']"
63271c3606a69a3f488e32c9_f_1_3_0,SCAL, \dfrac{3}{7} +  \dfrac{1}{8} + \dfrac{ 2}{9} +  \dfrac{3}{10} + \dfrac{1}{11} -\dfrac{14}{12},,"['optimization', 'fractions', 'elementary-functions']"
632f8a0c837ac920af67abc5_f_0_1_0,SET,\mathbb{R}^3,,"['real-analysis', 'functions', 'multivariable-calculus', 'graphing-functions', 'elementary-functions']"
632f8a0c837ac920af67abc5_f_0_2_0,SET,\mathbb{R}^2,,"['real-analysis', 'functions', 'multivariable-calculus', 'graphing-functions', 'elementary-functions']"
63271c3606a69a3f488e32c9_f_1_10_0,SET,"\{5,7,8,9,11\}",,"['optimization', 'fractions', 'elementary-functions']"
63271c3606a69a3f488e32c9_f_1_11_0,SET,"\{7,8,9,10,11\}",,"['optimization', 'fractions', 'elementary-functions']"
63271c3806a69a3f488e49a5_f_1_1_0,SCAL,\frac{4}{n},one,"['algebra-precalculus', 'summation', 'ceiling-and-floor-functions', 'elementary-functions']"
63271c3806a69a3f488e4c2f_f_3_1_0,SCAL,f(x)^{g(x)},,"['functions', 'elementary-functions']"
632f907a837ac920af67f15b_f_1_2_0,FUNC,f(x) = f(y),,"['elementary-set-theory', 'elementary-functions']"
632f907a837ac920af67f15b_f_2_6_0,SCAL,f^{-1}(\{y\}),the sets,"['elementary-set-theory', 'elementary-functions']"
632fcd14837ac920af6da674_f_1_1_0,SCAL,(d)\times (e)\times (f),the last three equations,"['algebra-precalculus', 'systems-of-equations', 'contest-math', 'quadratics', 'elementary-functions']"
632fcd14837ac920af6da674_f_1_3_0,SCAL,(d)\times (e),,"['algebra-precalculus', 'systems-of-equations', 'contest-math', 'quadratics', 'elementary-functions']"
63271c3e06a69a3f488e8c48_f_0_6_0,FUNC,"
f(x)=ax+\dfrac{b}{x^2}+c
",,"['calculus', 'education', 'elementary-functions']"
632f971d837ac920af6867a9_f_1_7_0,SCAL,\frac{1}{x},general reciprocals,"['soft-question', 'intuition', 'definition', 'elementary-functions']"
632f9d99837ac920af690189_f_0_0_0,FUNC,f(-1) = f(1),,"['algebra-precalculus', 'functions', 'elementary-functions']"
632f9d9b837ac920af691136_f_0_3_0,FUNC,f(s)=as^{2}+bs+c,,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']"
632fcd1a837ac920af6dcf3c_f_0_10_0,FUNC,"f(x,y) = (x-y)^2",,"['calculus', 'derivatives', 'elementary-functions']"
632fcd1a837ac920af6dcf3c_f_0_11_0,FUNC,"f(x,y) = (y-x)^2",,"['calculus', 'derivatives', 'elementary-functions']"
632f9d9b837ac920af691136_f_2_3_0,FUNC,g(s) = f(s+1)-f(s),,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']"
632f9d9b837ac920af691136_f_2_5_0,FUNC,g(s) = (a(s+1)^2+b(s+1)+c)-(as^2+bs+c),,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']"
632f9d9b837ac920af691136_f_2_14_0,FUNC,f(s)=as^2+bs+c,any polynomial,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']"
632fcd1b837ac920af6dd1c2_f_1_17_0,FUNC,g(x) = x^2 ,,['elementary-functions']
632f5f3e837ac920af6367bd_f_0_9_0,SET,\mathbb{C} ,,"['complex-analysis', 'proof-verification', 'elementary-functions']"
632fcd22837ac920af6e001d_f_2_2_0,FUNC,f(x) = 3x^2+2,,"['general-topology', 'elementary-functions']"
632fcd22837ac920af6e02ac_f_1_0_0,FUNC,f(n) = n^{-512},,"['real-analysis', 'functions', 'polynomials', 'elementary-functions']"
632f9d9f837ac920af6929f2_f_0_0_0,SCAL,\frac{a^2+b^2}{2ab},,"['algebra-precalculus', 'inequality', 'fractions', 'a.m.-g.m.-inequality', 'elementary-functions']"
632f9d9f837ac920af6929f2_f_0_3_0,SCAL,\frac{1+x^2}{2x},,"['algebra-precalculus', 'inequality', 'fractions', 'a.m.-g.m.-inequality', 'elementary-functions']"
632f9d9f837ac920af6929f2_f_2_0_0,SCAL,\frac{x}{2}+\frac{1}{2x},your expression,"['algebra-precalculus', 'inequality', 'fractions', 'a.m.-g.m.-inequality', 'elementary-functions']"
632f5f40837ac920af636f4f_f_2_4_0,SCAL,e^{\frac{1}{2}},convention,"['complex-analysis', 'complex-numbers', 'elementary-functions']"
632f5f40837ac920af636f4f_f_2_5_0,SCAL,exp{(\frac{1}{2})},,"['complex-analysis', 'complex-numbers', 'elementary-functions']"
632f5f40837ac920af636f4f_f_2_10_0,SCAL,z^{\frac{1}{2}},,"['complex-analysis', 'complex-numbers', 'elementary-functions']"
632fd3c2837ac920af6e3630_f_3_0_0,FUNC,f (x) = a^x,,"['real-analysis', 'limits-without-lhopital', 'elementary-functions']"
632fd3c2837ac920af6e3630_f_3_4_0,FUNC,f (x) = a^x,,"['real-analysis', 'limits-without-lhopital', 'elementary-functions']"
632f9da6837ac920af695954_f_1_2_0,SCAL,\frac{x}{y},,"['elementary-number-theory', 'elementary-functions']"
633004d0837ac920af73931d_f_1_0_0,FUNC,g(x) = x + 1,,"['functions', 'elementary-functions']"
633004d0837ac920af73931d_f_1_7_0,FUNC,g(x) = x + 1,,"['functions', 'elementary-functions']"
632f9dab837ac920af697b4d_f_0_0_0,SCAL, \frac{a}{1+b} + \frac{b}{1+a} + (1-a)(1-b),,"['derivatives', 'inequality', 'optimization', 'elementary-functions', 'uvw']"
632f9dab837ac920af697b4d_f_1_13_0,FUNC,g(a)=\frac{2a}{1+a}+(1-a)^2.,,"['derivatives', 'inequality', 'optimization', 'elementary-functions', 'uvw']"
632f9dab837ac920af697b4d_f_2_18_0,SCAL, \dfrac{2 b}{(a+1)^3} ,,"['derivatives', 'inequality', 'optimization', 'elementary-functions', 'uvw']"
632f5f49837ac920af639f56_f_4_11_0,SCAL,\frac{a}{b},,"['elementary-functions', 'convention']"
632f5f49837ac920af63a0a7_f_0_8_0,SCAL, x^z - (1 - x)^z ,Edit2,"['exponentiation', 'elementary-functions']"
632f5f4a837ac920af63a7d5_f_0_3_0,SET,\mathbb R[x],,"['algebra-precalculus', 'elementary-functions']"
632f9daf837ac920af69984e_f_0_3_0,FUNC,"F(x,y,z)=x^2+y^2+z^2",,"['real-analysis', 'multivariable-calculus', 'elementary-functions']"
632f5f4a837ac920af63a7d5_f_1_4_0,SET,\mathbb R[x],,"['algebra-precalculus', 'elementary-functions']"
632fd3d3837ac920af6ea13c_f_1_16_0,SCAL,e^{ln(y)(x+1)},,"['algebra-precalculus', 'proof-explanation', 'exponentiation', 'closed-form', 'elementary-functions']"
632fd3d3837ac920af6ea13c_f_1_17_0,SCAL,e^{ln(y+1)x},,"['algebra-precalculus', 'proof-explanation', 'exponentiation', 'closed-form', 'elementary-functions']"
63300bb3837ac920af73c257_f_1_2_0,SCAL,\{(1+\frac{1}{n})^{k}\},,"['real-analysis', 'asymptotics', 'exponential-function', 'elementary-functions']"
63300bb3837ac920af73c32c_f_0_4_0,SCAL,x^{4}+10x^{2}-96x-72,,"['integration', 'galois-theory', 'indefinite-integrals', 'elementary-functions']"
63300bb3837ac920af73c32c_f_0_7_0,SCAL,x^{4}+10x^{2}-96x-71,,"['integration', 'galois-theory', 'indefinite-integrals', 'elementary-functions']"
632fd3d9837ac920af6ec7f2_f_0_1_0,FUNC,f(x)=x^3-ax^2-ax+1,,"['roots', 'solution-verification', 'elementary-functions']"
632f5f4c837ac920af63b369_f_0_5_0,SCAL,\frac{2}{ln(1+10^{-3})},,"['calculus', 'algebra-precalculus', 'elementary-number-theory', 'elementary-functions']"
632f5f4c837ac920af63b369_f_0_6_0,SCAL,\frac{2}{ln(1+10^{-3})},,"['calculus', 'algebra-precalculus', 'elementary-number-theory', 'elementary-functions']"
632fa432837ac920af69b084_f_1_18_0,FUNC,\cos(z)=\dfrac{e^{iz}+e^{-iz}}{2},,"['trigonometry', 'elementary-functions']"
632fd3dc837ac920af6edb32_f_0_0_0,SCAL,x^3+7x^2+6x+5,,"['real-analysis', 'calculus', 'polynomials', 'elementary-functions']"
632f5f4c837ac920af63b369_f_1_10_0,SCAL,1+\frac{t}{2},,"['calculus', 'algebra-precalculus', 'elementary-number-theory', 'elementary-functions']"
