fid,mtype,exprstr,mention,tags
6327106106a69a3f488d6e40_f_1_1_0,SCAL,\dfrac{p}{q},,"['elementary-number-theory', 'radicals', 'rationality-testing']"
6327106106a69a3f488d6e40_f_6_2_0,SCAL,\frac{a}{b},a rational solution,"['elementary-number-theory', 'radicals', 'rationality-testing']"
6327106106a69a3f488d6e5c_f_2_2_0,SCAL,2\times1\times1\times1\times1\times1,,"['elementary-number-theory', 'prime-numbers', 'terminology', 'definition']"
6327106106a69a3f488d6ec1_f_2_15_0,SCAL,(x^2 + y^2)/m,an integer,"['elementary-number-theory', 'prime-numbers']"
6327106106a69a3f488d6ec1_f_2_19_0,SCAL,(x^2 + y^2)/m,,"['elementary-number-theory', 'prime-numbers']"
6327106106a69a3f488d6f17_f_5_45_0,SCAL,p^{a-1}(p-1),,"['elementary-number-theory', 'prime-numbers', 'divisibility']"
6327106106a69a3f488d6f17_f_8_23_0,SCAL,k(3 \cdot 2^{n+2})(p^{2^{n}} + 1),,"['elementary-number-theory', 'prime-numbers', 'divisibility']"
6327106106a69a3f488d6f17_f_8_25_0,SCAL,(p^{2^{n}} + 1),Our third term,"['elementary-number-theory', 'prime-numbers', 'divisibility']"
6327106106a69a3f488d6f58_f_0_10_0,SCAL,( n + 1 )^3 + 2( n + 1 ),,"['elementary-number-theory', 'induction']"
6327106106a69a3f488d6f58_f_0_16_0,SCAL,(n^3 + 2n ),,"['elementary-number-theory', 'induction']"
6327106106a69a3f488d6f58_f_0_18_0,SCAL,(n^3+ 2n ) + 3( n^2 + n + 1 ),,"['elementary-number-theory', 'induction']"
6327106106a69a3f488d6f58_f_1_7_0,SCAL,( n^3+ 2n ) + 3( n^2+ n + 1 ),,"['elementary-number-theory', 'induction']"
6327106106a69a3f488d6f58_f_3_4_0,SCAL,(n^3 + 2n) + 3(n^2 + n + 1),,"['elementary-number-theory', 'induction']"
6327106106a69a3f488d6f58_f_3_7_0,SCAL,3(n^2 + n + 1),,"['elementary-number-theory', 'induction']"
6327106106a69a3f488d6f58_f_9_5_0,SCAL,(n+1)^3 + 2(n+1),,"['elementary-number-theory', 'induction']"
6327106206a69a3f488d702a_f_6_36_0,SCAL,\binom{39}{17},,"['elementary-number-theory', 'divisibility', 'factorial', 'multinomial-coefficients']"
6327106206a69a3f488d702a_f_6_41_0,SCAL,\binom{39}{17},,"['elementary-number-theory', 'divisibility', 'factorial', 'multinomial-coefficients']"
6327106206a69a3f488d7185_f_0_6_0,SCAL,\frac{m(m-1)}{2},,"['elementary-number-theory', 'summation', 'modular-arithmetic']"
6327106206a69a3f488d71e7_f_2_11_0,SCAL,\frac{b}{a},,['elementary-number-theory']
6327106206a69a3f488d723c_f_0_0_0,SCAL,7^{17} - 7^{15},,"['algebra-precalculus', 'elementary-number-theory', 'divisibility']"
6327106206a69a3f488d7283_f_3_8_0,SCAL,\frac{c}{b},this condition,"['elementary-number-theory', 'propositional-calculus']"
6327106206a69a3f488d7528_f_0_1_0,SCAL,n^3 + (n+1)^3 + (n+2)^3,f_0_0_0   divides,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_0_7_0,SCAL,n^3 + (n+1)^3 + (n+2)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_0_10_0,SCAL,k^3 + (k+1)^3 + (k+2)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_1_0,SCAL,n^3 + (n+1)^3 + (n+2)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_2_0,SCAL,(n+1)^3 + (n+2)^3 + (n+3)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_3_0,SCAL,[(n+1)^3 + (n+2)^3 + (n+3)^3] -[n^3 + (n+1)^3 + (n+2)^3],,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_4_0,SCAL,(n+1)^3 + (n+2)^3 + (n+3)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_8_0,SCAL,[(n+1)^3 + (n+2)^3 + (n+3)^3] -[n^3 + (n+1)^3 + (n+2)^3],,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_9_0,SCAL,9n^2+27n+27,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_10_0,SCAL,9(n^2+3n+3),,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_4_0_0,SCAL,(n-1)^3+n^3+(n+1)^3,a symmetric fashion,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d768d_f_2_7_0,SCAL,\dbinom{n+1}{2},,"['combinatorics', 'elementary-number-theory', 'summation', 'ceiling-and-floor-functions', 'totient-function']"
6327106206a69a3f488d768d_f_4_15_0,SCAL,\frac{a}{k},,"['combinatorics', 'elementary-number-theory', 'summation', 'ceiling-and-floor-functions', 'totient-function']"
6327106206a69a3f488d768d_f_4_21_0,SCAL,\frac{3}{18},,"['combinatorics', 'elementary-number-theory', 'summation', 'ceiling-and-floor-functions', 'totient-function']"
6327106206a69a3f488d7857_f_0_1_0,SET,\mathbb{Z}^2,,"['elementary-number-theory', 'elementary-set-theory', 'discrete-mathematics']"
6327106206a69a3f488d7884_f_0_26_0,SET,"(1184, 1210)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7884_f_0_27_0,SET,"(2620, 2924)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7884_f_0_28_0,SET,"(5020, 5564)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7884_f_0_29_0,SET,"(6232, 6368)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7884_f_0_30_0,SET,"(10744, 10856)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7884_f_0_31_0,SET,"(12285, 14595)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7884_f_0_32_0,SET,"(17296, 18416)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7884_f_0_33_0,SET,"(63020, 76084)",,"['number-theory', 'elementary-number-theory']"
6327106206a69a3f488d7ac2_f_0_0_0,SCAL,\binom{n}{k},a combination,"['elementary-number-theory', 'binomial-coefficients']"
6327106206a69a3f488d7ac2_f_0_3_0,SCAL,\frac{n!}{k!(n-k)!},the expression,"['elementary-number-theory', 'binomial-coefficients']"
6327106206a69a3f488d7ac2_f_1_5_0,SCAL,n(n-1)(n-2) \cdots (k+1),,"['elementary-number-theory', 'binomial-coefficients']"
6327106206a69a3f488d7b0e_f_1_23_0,SCAL,\frac{p}{q},lowest term,"['elementary-number-theory', 'radicals', 'rationality-testing']"
6327106206a69a3f488d7b40_f_1_0_0,SCAL,\binom{k+n}{k},the binomial coefficient,"['elementary-number-theory', 'divisibility', 'factorial']"
