fid,mtype,exprstr,mention,tags
6327106106a69a3f488d6ea5_f_1_0_0,SET,\mathbb R^N,the sequence space,"['real-analysis', 'elementary-set-theory', 'cardinals']"
6327106106a69a3f488d6f48_f_1_1_0,FUNC,f : S \to S,,"['functions', 'elementary-set-theory', 'function-and-relation-composition']"
6327106106a69a3f488d6f81_f_1_2_0,FUNC,D(q) = 1/(1+1/q),,['elementary-set-theory']
6327106206a69a3f488d71c2_f_3_1_0,FUNC,f(x) = \{ x \},,['elementary-set-theory']
6327106206a69a3f488d73b6_f_1_2_0,FUNC,f(x) = \frac{x}{x^2-1},,"['functions', 'elementary-set-theory']"
6327106206a69a3f488d73b6_f_2_0_0,FUNC,f: X \rightarrow Y,,"['functions', 'elementary-set-theory']"
6327106206a69a3f488d73b6_f_2_1_0,FUNC,g: Y \rightarrow Z,,"['functions', 'elementary-set-theory']"
6327106206a69a3f488d73b6_f_3_3_0,FUNC,f\colon X\to Y,,"['functions', 'elementary-set-theory']"
6327106206a69a3f488d73b6_f_3_5_0,FUNC,g\colon Y\to Z,,"['functions', 'elementary-set-theory']"
6327106206a69a3f488d74de_f_1_0_0,SET,(A \cap B^c) \cup (A^c \cap B),symmetric difference,"['elementary-set-theory', 'field-theory']"
6327106206a69a3f488d7571_f_2_0_0,SCAL,f(n+1)-f(n),differences,['elementary-set-theory']
6327106206a69a3f488d766a_f_2_3_0,FUNC,f \colon X \to Y,,"['elementary-set-theory', 'measure-theory']"
6327106206a69a3f488d76b5_f_0_1_0,SET,"\{1,2,3,4,5,6,7\}",,"['algebra-precalculus', 'elementary-set-theory']"
6327106206a69a3f488d76f6_f_1_0_0,SCAL,\frac{k}{2^n},dyadic rationals,['elementary-set-theory']
6327106206a69a3f488d7857_f_0_1_0,SET,\mathbb{Z}^2,,"['elementary-number-theory', 'elementary-set-theory', 'discrete-mathematics']"
6327106206a69a3f488d7b1c_f_0_0_0,FUNC,f:A \rightarrow B,,['elementary-set-theory']
6327106206a69a3f488d7c1f_f_1_0_0,SET,\mathbb{R} \times \mathbb{R},,['elementary-set-theory']
6327106306a69a3f488d7c98_f_0_0_0,FUNC,f\colon A\to A,,"['functions', 'elementary-set-theory']"
6327106306a69a3f488d7c9d_f_0_5_0,SCAL,h^{-1}([10]24),,['elementary-set-theory']
6327106306a69a3f488d7e9c_f_0_7_0,FUNC,f(0.0001) = 10000,,"['elementary-set-theory', 'discrete-mathematics']"
6327106306a69a3f488d7e9c_f_2_1_0,SCAL,\frac{1}{3},,"['elementary-set-theory', 'discrete-mathematics']"
6327106306a69a3f488d7f88_f_0_0_0,SCAL,1.6 \times 10^{-35},,"['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7fa4_f_1_6_0,FUNC,f\colon A\to B,,"['intuition', 'elementary-set-theory', 'axiom-of-choice']"
6327106306a69a3f488d7fa4_f_1_7_0,FUNC,g\colon B\to A,,"['intuition', 'elementary-set-theory', 'axiom-of-choice']"
6327106306a69a3f488d802f_f_0_6_0,FUNC,f: \mathbb{N} \to \mathbb{R},,"['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d802f_f_1_4_0,FUNC,"f: X\to\{0,1\}",,"['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d802f_f_2_0_0,FUNC,f:\mathbb{N} \rightarrow \mathbb{R},,"['elementary-set-theory', 'cardinals', 'infinity']"
6327106306a69a3f488d8043_f_0_2_0,FUNC,F\colon A\to A,,"['functions', 'elementary-set-theory', 'relations', 'equivalence-relations']"
6327106306a69a3f488d8043_f_0_12_0,FUNC,F\colon A\to A,,"['functions', 'elementary-set-theory', 'relations', 'equivalence-relations']"
6327106306a69a3f488d8043_f_0_16_0,FUNC,F\colon A\times A\to A,,"['functions', 'elementary-set-theory', 'relations', 'equivalence-relations']"
6327106306a69a3f488d8043_f_0_19_0,FUNC,F\colon A\times A\to A,,"['functions', 'elementary-set-theory', 'relations', 'equivalence-relations']"
6327106306a69a3f488d80c3_f_2_0_0,FUNC,f\colon\mathbb{Z}\to\mathbb{N},,['elementary-set-theory']
6327106306a69a3f488d80c3_f_2_3_0,FUNC,f(x) = -2x+1,,['elementary-set-theory']
6327106306a69a3f488d80c3_f_2_4_0,FUNC,g\colon\mathbb{N}\times\mathbb{N}\to\mathbb{N},,['elementary-set-theory']
6327106306a69a3f488d80c3_f_2_5_0,FUNC,"f(a,b) = \frac{(a+b+1)(a+b)}{2}+a",,['elementary-set-theory']
6327106306a69a3f488d80c3_f_2_11_0,FUNC,f\colon\mathbb{Z}\times\mathbb{Z}\to\mathbb{Z},,['elementary-set-theory']
6327106306a69a3f488d8131_f_1_55_0,SCAL, where each ,,"['elementary-set-theory', 'relations']"
6327106306a69a3f488d8131_f_1_57_0,SCAL, followed by a copy of ,,"['elementary-set-theory', 'relations']"
6327106306a69a3f488d8131_f_1_58_0,SCAL, followed by a copy of ,,"['elementary-set-theory', 'relations']"
