fid,mtype,exprstr,mention,tags
6327106106a69a3f488d6f0f_f_2_5_0,SCAL,c^2 - b^2 - a^2,,"['geometry', 'algebra-precalculus', 'euclidean-geometry', 'triangles', 'big-list']"
6327106206a69a3f488d6fcf_f_1_7_0,SCAL,\frac{3}{7},,['euclidean-geometry']
6327106206a69a3f488d6fcf_f_1_10_0,SCAL,\frac{1}{10},,['euclidean-geometry']
6327106206a69a3f488d6fcf_f_3_5_0,SCAL,\frac{3}{7},,['euclidean-geometry']
6327106206a69a3f488d712c_f_3_26_0,SET,\mathbb R^2,,"['linear-algebra', 'euclidean-geometry']"
6327106206a69a3f488d7408_f_1_0_0,SET,\mathbb{R}^2,,['euclidean-geometry']
6327106206a69a3f488d7408_f_4_0_0,SET,\mathbb{R}^2,,['euclidean-geometry']
6327106206a69a3f488d7611_f_1_0_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'tiling']"
6327106206a69a3f488d7c1d_f_0_0_0,SET,\mathbb{Q}^3,,"['geometry', 'euclidean-geometry']"
6327106206a69a3f488d7c1d_f_0_4_0,SET,\mathbb{Q}^3,irrational points,"['geometry', 'euclidean-geometry']"
6327106306a69a3f488d7cab_f_3_5_0,FUNC,f(x) = (x-1)^2 + (y(x)-1)^2 + (z(x)-1)^2,,"['calculus', 'geometry', 'euclidean-geometry']"
6327106306a69a3f488d7cab_f_3_13_0,FUNC,f(x)=9x^2-6x+2,,"['calculus', 'geometry', 'euclidean-geometry']"
6327106306a69a3f488d850b_f_1_5_0,FUNC,"f(x,y) = xy",,"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_1_8_0,FUNC,"f(x,x) = x^{2}",,"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_3_5_0,FUNC,"f(x,y)=-g(x)g(y)",a counterexample,"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d88c8_f_1_3_0,SET,\mathbb{R}^2,,['euclidean-geometry']
632f9087837ac920af6842af_f_0_27_0,SCAL,\frac{10}{11}n,,"['combinatorics', 'geometry', 'graph-theory', 'euclidean-geometry', 'combinatorial-geometry']"
632f9087837ac920af684310_f_3_14_0,SCAL,- \dfrac{1}{m},,"['geometry', 'euclidean-geometry']"
6327106406a69a3f488d8fd8_f_0_1_0,SET,\mathbb{R}^3,,"['reference-request', 'euclidean-geometry', 'polyhedra']"
6327106406a69a3f488d8fd8_f_0_5_0,SET,\mathbb{R}^2,,"['reference-request', 'euclidean-geometry', 'polyhedra']"
6327106406a69a3f488d8fd8_f_1_1_0,SET,\mathbb{R}^2,,"['reference-request', 'euclidean-geometry', 'polyhedra']"
632f9087837ac920af684858_f_0_0_0,SET,\mathbb{R}^2,,"['group-theory', 'euclidean-geometry', 'isometry']"
632f9088837ac920af68491b_f_0_0_0,SET,\mathbb R^2,,"['real-analysis', 'differential-geometry', 'euclidean-geometry', 'plane-curves']"
632f9089837ac920af6851d2_f_3_65_0,SCAL,\frac{1}{2}s+t,,"['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles']"
632f9089837ac920af6851d2_f_3_67_0,SCAL,-\frac{1}{2}s+\frac{1}{2}t+3,,"['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles']"
6327106506a69a3f488d9fce_f_0_2_0,SCAL,n^{\frac{3}{2}},,"['linear-algebra', 'euclidean-geometry']"
632f9089837ac920af68520d_f_0_1_0,SET,\mathbb R^{n+1},,"['differential-geometry', 'euclidean-geometry', 'riemannian-geometry', 'surfaces']"
632f9089837ac920af685255_f_1_11_0,FUNC,f(t)=2t^2-1,,['euclidean-geometry']
632f9089837ac920af6852d1_f_2_58_0,SCAL,\frac{4r^2}{y^4z^4},,"['trigonometry', 'euclidean-geometry']"
632f9089837ac920af6855ff_f_1_0_0,SET,\mathbb R^n,,"['group-theory', 'metric-spaces', 'finite-groups', 'euclidean-geometry', 'transformation']"
632f9089837ac920af6855ff_f_3_8_0,SCAL,\frac{(n-1)n}{2},,"['group-theory', 'metric-spaces', 'finite-groups', 'euclidean-geometry', 'transformation']"
6327106606a69a3f488da66d_f_1_64_0,SCAL,n(n^2-1)/24,the end result,"['algorithms', 'euclidean-geometry', 'computational-geometry']"
632f9089837ac920af6855ff_f_3_18_0,SCAL,\frac{(n-1)n}{2},,"['group-theory', 'metric-spaces', 'finite-groups', 'euclidean-geometry', 'transformation']"
6327106606a69a3f488da734_f_0_1_0,SET,\mathbb{R}^3,,"['geometry', 'terminology', 'euclidean-geometry', '3d', 'solid-geometry']"
6327106606a69a3f488da907_f_1_4_0,SCAL,\frac{b}{a},the line,"['geometry', 'euclidean-geometry', 'analytic-geometry']"
632f908a837ac920af68574e_f_0_2_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'model-theory', 'metric-geometry']"
632f908a837ac920af68574e_f_0_4_0,SET,\mathbb{R}^2,models,"['geometry', 'euclidean-geometry', 'model-theory', 'metric-geometry']"
632f908b837ac920af685e81_f_2_2_0,SCAL, is the incenter of ,,['euclidean-geometry']
632f908b837ac920af685e81_f_2_14_0,SCAL, is the incenter of ,} f_2_12_0 \overline{BP } f_2_13_0,['euclidean-geometry']
6327106706a69a3f488dad58_f_1_11_0,SCAL,(b^2/a^2)(a^2-p^2),,"['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']"
632f971d837ac920af6867f7_f_0_3_0,FUNC,"\cos(90) = 0.61x + 0.61y + 0.5z",any sense,"['trigonometry', 'euclidean-geometry', 'analytic-geometry']"
632f971d837ac920af6867f7_f_0_4_0,FUNC,"\cos(60) = 0x + 0y + 1z",,"['trigonometry', 'euclidean-geometry', 'analytic-geometry']"
6327106706a69a3f488dad58_f_1_44_0,SCAL,2a^2b^2/(a^2+b^2),the above equation simplifies,"['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']"
6327106706a69a3f488dad58_f_1_45_0,SCAL,(n^2+1)(4b^4a^4)/(a^2+b^2),,"['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']"
632f971d837ac920af686840_f_0_0_0,SET,\mathbb{R}^2,the plane,['euclidean-geometry']
632f971e837ac920af686da1_f_0_7_0,SET,\mathbb R^n,,"['linear-algebra', 'euclidean-geometry', 'orthogonal-matrices']"
632f971e837ac920af686da1_f_0_13_0,SCAL,(n-k)\times (n-k),,"['linear-algebra', 'euclidean-geometry', 'orthogonal-matrices']"
6327106706a69a3f488daec5_f_1_31_0,FUNC,"f : (0,a) \to \mathbb R",,"['measure-theory', 'euclidean-geometry']"
6327106706a69a3f488daec5_f_1_45_0,SCAL, and the inequality comes from the fact that you can enclose your convex set in a box of width ,\frac{3}{16}(d(h_1+h_2,"['measure-theory', 'euclidean-geometry']"
6327106706a69a3f488daec5_f_1_46_0,SCAL, and height ,,"['measure-theory', 'euclidean-geometry']"
6327106706a69a3f488daec5_f_1_48_0,SCAL, is the maximal height of one of the constructions and ,f_1_47_0 h,"['measure-theory', 'euclidean-geometry']"
6327106706a69a3f488daec5_f_1_51_0,SCAL, of the set ,f_1_49_0 1 f_1_50_0 r=3/16 f_1_51_0,"['measure-theory', 'euclidean-geometry']"
6327106706a69a3f488daf05_f_1_1_0,SET,\mathbb R^3,,"['euclidean-geometry', 'complex-numbers']"
6327106706a69a3f488daf05_f_3_1_0,SET,\mathbb{R}^3,,"['euclidean-geometry', 'complex-numbers']"
632f971f837ac920af68745c_f_0_2_0,SET,\mathbb{R}^2,,"['abstract-algebra', 'euclidean-geometry']"
632f971f837ac920af68745c_f_0_3_0,SET,\mathbb{C}^2,,"['abstract-algebra', 'euclidean-geometry']"
632f9720837ac920af687b74_f_0_6_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'triangles']"
632f9720837ac920af687b74_f_2_1_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'triangles']"
6327106806a69a3f488db7c2_f_1_1_0,SET,\mathbb{R}^3,,"['matrices', 'euclidean-geometry', 'coordinate-systems']"
6327106806a69a3f488db7c2_f_1_2_0,SET,\mathbb{R}^2,,"['matrices', 'euclidean-geometry', 'coordinate-systems']"
6327106806a69a3f488db820_f_1_2_0,SET,\mathbb R^n,,"['geometry', 'euclidean-geometry']"
632f9722837ac920af688570_f_0_12_0,SET,\mathbb{R}^N,,"['linear-algebra', 'reference-request', 'euclidean-geometry', 'riemannian-geometry', 'exterior-algebra']"
6327106806a69a3f488db820_f_4_5_0,SET,\mathbb R^n,,"['geometry', 'euclidean-geometry']"
6327106806a69a3f488dbac2_f_0_6_0,SCAL,\frac{n(n-1)}{2},a system,"['graph-theory', 'euclidean-geometry']"
6327106806a69a3f488dbac2_f_2_13_0,SET,\mathbb R^d,,"['graph-theory', 'euclidean-geometry']"
6327106806a69a3f488dbac2_f_2_15_0,SET,\mathbb R^d,,"['graph-theory', 'euclidean-geometry']"
6327106806a69a3f488dbac2_f_2_19_0,SET,\mathbb R^n,  f_2_18_0   points,"['graph-theory', 'euclidean-geometry']"
6327106806a69a3f488dbdf5_f_0_2_0,SET,\mathbb R^n,,"['euclidean-geometry', 'extremal-combinatorics']"
6327106806a69a3f488dbea1_f_0_3_0,SET,\mathbb{R}^2,,"['euclidean-geometry', 'metric-spaces']"
6327106806a69a3f488dbfc1_f_0_1_0,FUNC,f(0) = f(1),,"['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_5_0,SET,\mathbb{R}^2,,"['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_10_0,SET,\mathbb{R}^2,,"['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_21_0,SET,\mathbb{R}^2,,"['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_27_0,SET,\mathbb{R}^2,,"['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_38_0,FUNC,F: \mathbb{R}^2 \rightarrow \mathbb{R}^2,homeomorphisms,"['general-topology', 'euclidean-geometry']"
632f9723837ac920af688c1c_f_2_2_0,SET,"(\frac{a^2+b^2}{2a},b)",,"['geometry', 'euclidean-geometry']"
632f9723837ac920af688c1c_f_2_4_0,SET,"(\frac{a^2-b^2}{2a},0)",,"['geometry', 'euclidean-geometry']"
632fc630837ac920af6d6d98_f_0_2_0,FUNC,f:E\rightarrow F,/ Hermitian vector spaces,"['linear-algebra', 'euclidean-geometry']"
632fc630837ac920af6d6d98_f_1_3_0,FUNC,f\colon E\to F,,"['linear-algebra', 'euclidean-geometry']"
632f9723837ac920af688c1e_f_1_1_0,FUNC,"f:[0,1]\to \mathbb{R}^3",,"['euclidean-geometry', 'riemannian-geometry']"
632fc630837ac920af6d6ef0_f_0_1_0,SET,\mathbb R^n,,"['vector-spaces', 'euclidean-geometry', 'inner-products']"
632fc631837ac920af6d6fca_f_0_16_0,SCAL,(2n-1)^{d-1},this faces,"['geometry', 'discrete-mathematics', 'euclidean-geometry', 'discrete-geometry']"
6327106906a69a3f488dcb17_f_2_0_0,SET,\mathbb{R}^2,,"['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
6327106906a69a3f488dcb17_f_2_12_0,SET,\mathbb{R}^2,,"['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
6327106906a69a3f488dcfa0_f_1_2_0,SET,"(\frac{a+c}{2},\frac{b+d}{2})",the center,"['geometry', 'euclidean-geometry']"
6327106906a69a3f488dd022_f_0_7_0,SET,\mathbb{Z}^3,,"['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106906a69a3f488dd022_f_0_8_0,SET,\mathbb{R}^3,,"['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106a06a69a3f488dd34f_f_1_0_0,SET,\mathbb R^2,,"['geometry', 'reference-request', 'euclidean-geometry', 'axioms']"
6327106a06a69a3f488dd34f_f_1_2_0,SET,\mathbb R^2,,"['geometry', 'reference-request', 'euclidean-geometry', 'axioms']"
6327106a06a69a3f488dd34f_f_1_3_0,SET,\mathbb R^2,,"['geometry', 'reference-request', 'euclidean-geometry', 'axioms']"
6327106a06a69a3f488dd34f_f_1_4_0,SET,\mathbb R^2,,"['geometry', 'reference-request', 'euclidean-geometry', 'axioms']"
632fc631837ac920af6d72c6_f_0_8_0,SCAL,\frac{x}{z},,"['algebra-precalculus', 'trigonometry', 'euclidean-geometry', 'contest-math']"
632f9725837ac920af68997c_f_0_13_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'analytic-geometry', 'computational-geometry']"
