fid,mtype,exprstr,mention,tags
6327106106a69a3f488d6e90_f_12_13_0,FUNC,\cos(0) = 1,,"['calculus', 'trigonometry']"
6327106106a69a3f488d6f16_f_3_3_0,SCAL,x^2 + y^2 - w^2 - u^2,,"['geometry', 'trigonometry']"
6327106106a69a3f488d6f6a_f_3_0_0,FUNC,\cos(x) = \frac{1}{2}(e^{ix} + e^{-ix}),the   complex representation,"['intuition', 'trigonometry']"
6327106106a69a3f488d6f6a_f_3_1_0,FUNC,\sin(x) = \frac{1}{2i}(e^{ix} - e^{-ix}),,"['intuition', 'trigonometry']"
6327106206a69a3f488d7140_f_2_0_0,SCAL,\frac{a^2+b^2-c^2}{2ab},a triangle,"['algebra-precalculus', 'analysis', 'trigonometry', 'soft-question']"
6327106206a69a3f488d71b2_f_2_15_0,FUNC,f(1)=5.2044,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_16_0,FUNC,f(2)=14.238,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_17_0,FUNC,f(3)=25.232,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_18_0,FUNC,f(4)=37.353,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_20_0,FUNC,f(6)=62.647,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_21_0,FUNC,f(7)=74.768,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_22_0,FUNC,f(8)=85.762,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_23_0,FUNC,f(9)=94.796,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_34_0,FUNC,f(1.5648)=10.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_35_0,FUNC,f(2.5407)=20.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_36_0,FUNC,f(3.40155)=30.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_37_0,FUNC,f(4.21135)=40.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_39_0,FUNC,f(5.7887)=60.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_40_0,FUNC,f(6.59845)=70.000,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_41_0,FUNC,f(7.4593)=80.000,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_42_0,FUNC,f(8.4352)=90.000,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_2_43_0,FUNC,f(10)=100.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_3_27_0,SCAL,2^{71} 5^4 7^2,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_3_28_0,SET,"(0.0, 0.000000)",some data points,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_3_29_0,SET,"(0.1, 0.312953)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_3_30_0,SET,"(0.2, 0.508164)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_3_31_0,SET,"(0.3, 0.680452)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_3_32_0,SET,"(0.4, 0.842809)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d71b2_f_3_33_0,SET,"(0.5, 1.001730)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']"
6327106206a69a3f488d727c_f_1_5_0,SCAL,(1-x^2)/(1+x^2),,['trigonometry']
6327106206a69a3f488d73f6_f_3_33_0,SCAL,\frac{2}{7},,"['geometry', 'trigonometry', 'analytic-geometry']"
6327106206a69a3f488d7652_f_0_11_0,SCAL,\dfrac{1-x^{2}}{1-x^{2}y^{2}},,"['calculus', 'trigonometry', 'limits', 'transformation', 'multivariable-calculus']"
6327106206a69a3f488d7748_f_0_3_0,SCAL,\frac{1+t^2}{1-t^2},,"['calculus', 'trigonometry', 'integration']"
6327106206a69a3f488d7797_f_1_7_0,FUNC,A\colon\mathbb{R}^2\to\mathbb{R}^2,,"['geometry', 'trigonometry', 'big-list', 'metric-spaces']"
6327106206a69a3f488d7797_f_2_0_0,SET,\mathbb{R}^2,,"['geometry', 'trigonometry', 'big-list', 'metric-spaces']"
6327106206a69a3f488d7811_f_1_2_0,SCAL,\frac{a^2}{a^2+x^2},,"['trigonometry', 'integration']"
6327106206a69a3f488d7811_f_1_3_0,SCAL,\frac{1}{a^2+x^2},,"['trigonometry', 'integration']"
6327106206a69a3f488d7931_f_2_6_0,SCAL,0.968946146259369,,"['calculus', 'trigonometry']"
6327106206a69a3f488d793d_f_0_5_0,SCAL,1.0156683209925990818958162414 \cdots,,['trigonometry']
6327106206a69a3f488d79b3_f_2_35_0,SCAL,\frac{9}{4},,"['geometry', 'trigonometry']"
6327106206a69a3f488d7aca_f_1_3_0,FUNC,f(n) = f(n+2),,"['number-theory', 'trigonometry']"
